,A,TdcA,Crp,ihfB
R2,,0.41862443786940284,0.05604276321435975,0.05368347743528734
xmin,,-9.286368697,-9.852476477,-3.9178110457
xmid,,-7.083948762840883,-1.147986795219835,0.0881979156717937
xmax,,11.093441281,2.5388323397,3.3245249795
ystart,,-4.688206039189289,-1.1208914317160328,0.20744850040169957
yend,,7.33561658865802,2.168645241482443,-4.058220133616982
aat__00m_00s__1,0.7758617728,0.5988026284,0.0344951212,-0.1131958483
aat__00m_30s__1,-0.7007092523,0.1286886,0.1435731223,0.0772468121
aat__01m_00s__1,-0.5165280316,-0.5581336209000001,0.2534372822,0.0671979825
aat__02m_00s__1,-0.49115112850000003,-0.2465022402,0.283920339,-0.031233225400000002
aat__05m_00s__1,-1.1579014589,-1.0819742577,0.3175329239,0.0201842575
aat__10m_00s__1,0.23415409850000002,-0.8407687665,0.17602055360000002,-0.1696861744
aat__00m_00s__2,0.1478243765,-0.0447603512,0.005256366,0.030994294500000002
aat__00m_30s__2,0.361799947,0.0940802493,0.2819816342,0.0539088152
aat__01m_00s__2,0.2763704627,-0.3772036663,0.2801678667,0.1097352022
aat__02m_00s__2,-0.7919671650000001,-1.5003590398000002,0.4762089513,0.2340397233
aat__05m_00s__2,-0.9692422965,-0.9056576843,0.5370175003000001,0.2579735379
aat__10m_00s__2,1.2030874603,0.41585496780000003,0.5086233319,0.5504911606
aat__00m_00s__3,-0.9236861493,-0.5540422772,-0.039751487200000005,0.0822015539
aat__00m_30s__3,0.0322581859,-0.14980243540000002,0.2905320638,0.4189166854
aat__01m_00s__3,0.010411215100000001,-0.3330960253,0.1859933018,0.2529822276
aat__02m_00s__3,-0.5824332313,-0.6223199345,0.3699621097,0.39341672120000004
aat__05m_00s__3,-0.7510011579,-0.3551776928,0.5483756585,0.2673414086
aat__10m_00s__3,0.23001628810000002,0.4445613007,0.50143841,0.42329341260000003
abx_mega__dmso-2__1,-3.4316602269,-2.8953864125,-0.4516798918,2.297485246
abx_mega__ery_dmso__1,-3.2326177303,-6.293738001,-1.8893970692000002,-1.5657193052
abx_mega__nal_naoh__1,-4.4012040831,-2.5963106412,-0.1701238306,1.171465281
abx_mega__dmso-5__1,-1.1187318019,0.1025764951,0.1340371706,0.294111116
abx_mega__rif_dmso__1,-0.1664670124,-0.0704031781,-0.8477189713000001,0.9331627303000001
abx_mega__novo_h2o__1,-1.9500638761,-3.3453028203,0.1307715067,-1.5948301920999999
