,A,AraC,FucR,ExuR,AllR
R2,,0.30559884897142886,0.2767180699207007,0.05271120004825658,0.023440590157525976
xmin,,-4.6668666265,-6.5202492065,-5.1270315559,-3.8738627709
xmid,,-0.6282339977138174,0.4833488606253031,-0.8082986920016207,0.3292749891545091
xmax,,4.762110206,4.559281553,2.5037670906000002,5.0285460609
ystart,,-0.8922141913005579,0.23900536561745156,-0.2963181721931676,0.6033769744619586
yend,,9.881486178233155,17.220591381009214,3.4739232765613397,4.8829373305089785
SRX1125282,0.5564687118,0.026998537700000002,0.1425326713,0.1385285563,-0.0724963562
SRX1125283,-1.0632880976,-0.3411537803,-0.09044467860000001,-0.2339223238,0.0501125522
SRX1125284,-0.6922300248000001,-0.3241906275,0.0509692977,-0.3153504165,0.1578856607
SRX1125285,-0.5834651858000001,-0.143134606,-0.3932122911,-0.5365640177000001,-0.1388360971
SRX1125286,-1.2834200666,-0.4932950159,-0.5512889078000001,-0.4401765567,-0.3547549922
SRX1125287,-1.6518519472,-0.5700525116,-0.8063884704000001,-0.7589242146,-0.4033529819
SRX1125288,-0.0121326147,0.2691444469,0.0660978626,-0.1011591106,-0.06277535220000001
SRX1125289,-1.28958254,0.2873905357,0.08520207710000001,-0.3361632403,0.0730229886
SRX1125290,-0.1514874344,-0.1111919338,0.013049896200000001,-0.473351636,-0.2200706566
SRX1125291,-0.8420468894,-0.0394261691,0.0036206618,-0.5302152134,-0.1076441325
SRX1125292,-1.270901996,-0.2046928727,-0.1812980704,-0.546305931,-0.117230257
SRX1125293,-0.3908336806,-0.27444440740000003,-0.23203005040000002,-0.339721504,-0.039494746500000004
SRX1125294,-0.5443360971,-0.2961429846,-0.208630534,-0.037369445700000004,0.1352717084
SRX1125295,-0.5986894397,0.1887521684,0.2698694108,0.020669392800000002,0.1449551118
SRX1125296,-0.579343421,-0.2822892852,0.0636098076,-0.3738556856,0.047362572900000004
SRX1125297,-0.5617643677,-0.0215160914,-0.3362640283,-0.3636468813,-0.232800054
SRX1125298,-0.4491597129,0.0531386311,0.027087580400000002,-0.42241668,-0.3993241916
SRX1125299,-1.2856683023,-0.12433065680000001,-0.1289819971,-0.5015582399,-0.0573459632
SRX5694250,3.2264473487,0.032182456400000004,-0.1658182514,0.2922230522,-0.9995291158
SRX5694251,-2.0330753267,-2.6585590459,-1.8152491405000002,-0.8724209259,-1.6468273076000002
SRX5694252,3.4297289365,-0.2666061319,-0.1578561882,0.1864145545,-1.9123715641
SRX5694253,1.0200922827,-0.0882097795,0.0362168738,-0.40944734110000003,-0.3562713026
SRX5694254,2.987507086,-0.6917582216,-0.0726061593,-0.6349960506,-0.4392481036
SRX5694255,-0.1808523606,-2.9216950308,-4.7314978255,-1.5587587842000001,-2.7789820423
SRX5694256,-2.242443384,-0.3576462791,-0.09695987,-0.5041836152,-0.4252407124
SRX5694257,-0.3122077244,-0.16727251340000002,-0.4102492511,-0.2134930303,-0.4348395666
SRX5694258,0.2771773691,0.1816250473,-0.1244414472,-0.5715169086,-0.0070030011000000005
SRX5694259,-2.6196543112,-3.275417279,-2.7844231087,-1.0611958021,-1.6562694762999999
SRX5694260,2.3846441862,0.1000935409,-0.045973554900000005,0.0385540526,-0.4461727069
SRX5694261,-1.9364465749000002,-1.3078024745,-1.1672007435,-0.56247043,-1.4881407368000001
SRX5694262,0.5721771151,-0.3226737819,-0.0606705331,1.0541232019,-2.0953881922
SRX5694263,1.2205398186,0.18911454760000002,0.23307869850000001,-0.2557954317,-0.4523119846
SRX5694264,-0.0413613711,-0.4330909706,-0.3341183983,-0.0510597168,-0.7500537425
SRX5694265,1.6249565978,-0.3914232164,0.3952808141,-0.7105524122,-0.2939656673
SRX5694267,0.3859484217,-0.1399194336,-0.0102542155,-0.5481849959,-0.1581853547
