,A,Cbl,CysB
R2,,0.3254935531467906,0.09461831483278293
xmin,,-5.7992459005,-1.753862387
xmid,,-0.6828881356592742,-0.6369063893959681
xmax,,4.8689289695,2.60925802
ystart,,0.22783628111428955,0.0447784062533263
yend,,9.493604222891022,5.293275907736456
ecoli_00001,0.2231960359,0.0132187795,0.009402596000000001
ecoli_00002,-0.2231960359,-0.0132187795,-0.009402596000000001
ecoli_00003,2.168319414,-0.5432028415,-0.23309463800000002
ecoli_00004,2.954289566,-0.2170661275,-0.17926772
ecoli_00005,0.5687957516000001,0.3362934385,0.186805187
ecoli_00006,0.5323717774,0.23130010050000002,0.283247485
ecoli_00007,2.1130722764,-0.4510181485,-0.32467438600000004
ecoli_00008,2.413717991,-0.5458924635,-0.13718796600000002
ecoli_00009,1.9616673591,0.4604168705,0.326990235
ecoli_00010,2.0240127324,0.5824520785,0.26560284100000003
ecoli_00011,2.6549067603000003,0.6496923005,0.263152894
ecoli_00012,3.1735730222,0.6583331885,0.235721322
ecoli_00014,3.2476588785000002,0.41276173250000003,0.073550531
ecoli_00015,2.8353886922,0.6454397135000001,0.315657621
ecoli_00016,2.5431139369,0.6703478215,0.41196401200000005
ecoli_00017,2.5837551636000002,0.7164414685,0.41253481000000003
ecoli_00018,2.7094156272000003,0.6155216345,0.243783521
ecoli_00019,0.7706430724000001,-2.8752137375,-0.889264469
ecoli_00020,0.3175304953,-2.9060361935000003,-0.699935802
ecoli_00021,0.1638232275,-2.9586090045,-0.620564424
ecoli_00022,-0.2308551295,-2.8165991805,-0.605630431
ecoli_00023,-0.9167566118,-2.8842713035000003,-0.694730956
ecoli_00024,-0.1855764456,-3.1331825795,-0.563037154
ecoli_00025,0.0634936984,-2.8712094065000002,-0.7084298330000001
ecoli_00026,-0.7741937355,-3.4099971965,-0.654491247
ecoli_00027,2.0695317104,4.6690969695,0.007599515
ecoli_00028,2.3101441484,4.7838938495,0.13775542300000002
ecoli_00029,0.3266345793,4.2715104995,0.197560972
ecoli_00030,0.5685107974,4.2133379795,0.177159004
ecoli_00031,1.1833042259,4.8689289695,0.094316431
ecoli_00032,0.8132895046,4.7436577195,0.028519389000000003
ecoli_00033,4.0323153738,4.2444637095,-0.150064986
ecoli_00034,3.8190597552,4.3096608295,-0.09221822
ecoli_00035,1.1687127919,3.8152421975,0.29840082100000004
ecoli_00036,1.6396322793,3.8095988575,0.21623465200000003
ecoli_00037,1.5022486584,4.1400520235,0.19351441200000002
ecoli_00038,0.3746899697,4.1936591195,0.23312563100000003
ecoli_00039,0.7066987884,1.9563104325,0.23261966
ecoli_00040,0.7849879979000001,1.9304287505,0.247858197
ecoli_00041,0.1140995467,-1.0330607255,0.185526357
ecoli_00042,0.0858311345,-0.2940709005,0.31376848500000004
