,A,FucR,AraC,AllR
R2,,0.3325119991601071,0.18596932632698848,0.05364523340042926
xmin,,-2.54109873,-4.6668666265,-3.118021038
xmid,,1.48137495311971,0.27549694078350684,-0.17212596201968647
xmax,,4.559281553,3.1511208795,2.779361151
ystart,,1.3395725014835342,1.0353472090681966,1.2662173871089861
yend,,20.730338675414593,5.998034939102254,5.284162941051669
ecoli_00001,0.28623729940000003,0.135851033,-0.0809860865,-0.099049832
ecoli_00002,-0.28623729940000003,-0.135851033,0.0809860865,0.099049832
ecoli_00003,1.2726226909,-0.35338198800000004,0.3471359755,0.05115874
ecoli_00004,0.8946327077,-0.35270599,0.2563596995,0.035525751
ecoli_00005,0.2495740455,-0.377280027,-0.2939784485,-0.29387824500000004
ecoli_00006,0.1771199068,-0.13763255900000002,-0.24993956550000002,-0.33163664200000004
ecoli_00007,0.9660872448000001,-0.37012220500000004,0.4790131825,0.032878878
ecoli_00008,1.3696873377,-0.572514798,0.27684502850000003,-0.014576396
ecoli_00009,1.0617777665,0.219657184,0.2549674695,-0.17660915100000002
ecoli_00010,0.8189684315,0.11272718200000001,0.3837654735,-0.10088203700000001
ecoli_00011,-0.1283727314,-0.09779157200000001,0.20026382350000002,-0.17153404800000002
ecoli_00012,-0.1059535974,-0.019828711000000002,-0.0318502835,-0.17085223300000002
ecoli_00014,-0.1130705655,-0.078526068,0.12058112750000001,-0.303571207
ecoli_00015,0.30270830930000003,-0.127233806,0.23029688850000002,-0.23716151200000002
ecoli_00016,0.2992060167,-0.003185574,0.2844644665,-0.336710226
ecoli_00017,0.37328092290000003,-0.02109144,0.4493160305,-0.108043333
ecoli_00018,-0.2353716572,-0.020719634,0.3284192125,-0.146851755
ecoli_00019,0.5938806143,-0.108049328,0.0938609905,-0.36559617600000005
ecoli_00020,0.2859121813,-0.14521351300000002,0.19969533650000001,-0.46573355200000005
ecoli_00021,0.6176944516,0.48626910500000003,0.2052859665,0.153715083
ecoli_00022,0.5504161212,0.42520843900000005,0.21155714450000002,0.007440333
ecoli_00023,-0.0420688048,0.109170971,-0.3108886205,-0.472658165
