,A,BaeR,CpxR
R2,,0.06500016450532764,0.0073039110868852175
xmin,,-6.021555931,-8.11516967
xmid,,-0.1512837170724369,0.09106857276272956
xmax,,2.3719346013,2.3778217705999998
ystart,,-0.14993387077832382,0.040850882929267376
yend,,3.113602127874663,1.4843569218424204
SRX1125282,0.0711483908,-0.0547510414,0.0371924006
SRX1125283,-0.4480407019,-0.14776930870000002,-0.1167177905
SRX1125284,0.3958256203,-0.2375999939,-0.029000962
SRX1125285,-0.4054237054,-0.4494828726,0.0848096896
SRX1125286,-0.9632236238,-0.41708472630000004,-0.0884970087
SRX1125287,-0.3733486328,-0.7197761967,-0.2513995396
SRX1125288,-0.422348304,-0.0868166347,0.0815287471
SRX1125289,0.1504357972,-0.080855972,0.07859198910000001
SRX1125290,-0.44045135700000004,-0.0894564937,0.0571983363
SRX1125291,-0.7319223439,-0.1059710829,0.0092045323
SRX1125292,-0.8802597734000001,-0.1008624882,-0.0070013234
SRX1125293,-0.5468313330000001,0.0128307672,-0.12278870160000001
SRX1125294,0.3511999132,0.1415676761,-0.11872114760000001
SRX1125295,0.4638928344,-0.13936578430000002,-0.2152456738
SRX1125296,0.084460376,-0.2515243398,-0.1562458411
SRX1125297,-0.2997080951,-0.3830290563,-0.26473731030000003
SRX1125298,-0.7044739509,-0.20856911320000002,-0.0212701091
SRX1125299,-0.3448146406,-0.0052422598,-0.067659326
SRX5694250,-1.5940868140000002,1.3716056053,0.3803231496
SRX5694251,0.8121110569000001,-1.12883157,0.1729381065
SRX5694252,0.1583354746,0.8313648314000001,0.2486438929
SRX5694253,-1.2201909202,-0.36431720370000004,0.6349426454
SRX5694254,-0.0366668826,-0.7130282678000001,0.0818792874
SRX5694255,3.0945331071,-3.0854197799,-0.9578921612
SRX5694256,-2.1062086873,-0.4712364288,0.2709099318
SRX5694257,-0.9818617157,0.10204645570000001,0.4084372189
SRX5694258,-0.7618018552,0.2228206007,0.5030222702
SRX5694259,-0.7545613395,-0.8736428495,-1.5241682389
SRX5694260,0.9109941316,-0.1210293248,0.2734839572
SRX5694261,10.3856869383,0.5542897823,0.5972433948
SRX5694262,0.3024888826,-0.1397449497,0.2530840492
SRX5694263,-1.6142334153,-0.4326864915,0.22629311430000001
SRX5694264,-1.3053034788,-0.659065081,0.7164461946
SRX5694265,-0.4600535578,-0.6547415517,0.0350990969
SRX5694267,-0.7176580649000001,-0.3506374417,0.5174468618
SRX5694268,-0.3712239299,0.1154227694,0.2399229565
SRX5694269,-0.5986537271,-0.1038311027,0.4463179412
SRX5694271,-0.18717959210000001,0.029865215900000002,-0.014249184100000001
SRX5694273,-2.7901749851,-1.5764703745,-0.6917129164
SRX5694274,-0.2744975897,-0.23462831520000002,-0.0688117843
SRX5694275,-1.3553597585000001,-0.9322998899,0.1167443107
SRX5694276,-0.46565971640000003,-0.8996839631,-0.42171916940000004
SRX5694277,0.6027722280000001,0.2552495698,0.5817872295000001
SRX5694278,-3.4941828671,-0.9327664834,-0.37442498960000004
SRX5694279,0.5051870096000001,-0.6427318047,-0.2529812531
SRX5694280,0.46634061120000003,-0.4966133552,0.26287335230000003
