,PA1518
SRX7442752,0.171356329
SRX7442753,-0.171356329
SRX7442754,2.307686548
SRX7442755,2.371204862
SRX7442756,2.363041985
SRX7442757,2.447550097
SRX7442758,2.023248913
SRX7442759,2.743789833
SRX7442761,2.678420811
SRX7874204,-0.061210415000000004
SRX7874205,0.061210415000000004
SRX7874206,-0.159564714
SRX7874207,0.19311622
SRX8639787,-0.039118096000000005
SRX8639788,0.039118096000000005
SRX8639789,-0.524545342
SRX8639790,-0.185576812
SRX8639791,-0.033046854
SRX8639792,-0.037589383000000004
SRX8639793,-1.585016355
SRX8639794,-1.645678384
SRX8639795,-1.5924281599999999
SRX8639796,-1.5910580410000001
SRX8639797,0.09530514500000001
SRX8639798,0.21623081500000002
SRX8639800,0.231746057
SRX2940624,1.060449511
SRX2940626,0.32770159200000004
SRX2940627,0.015377286
SRX2940628,-0.14595886500000002
SRX2940629,0.130581579
ERX2195929,0.476887732
ERX2195930,-0.476887732
ERX2195931,0.24009355000000002
ERX2195932,0.174396153
ERX2195933,-0.970440301
ERX2195934,0.045058519000000005
SRX4579961,0.023910441
SRX4579962,0.17877572600000002
SRX4579963,-0.202686167
SRX4579964,0.553422853
SRX4579965,0.699734693
SRX4579966,0.8618686560000001
SRX540108,0.071409556
SRX540109,-0.071409556
SRX540110,0.864833068
SRX540111,0.23116361200000002
SRX540112,0.608875438
SRX540113,0.026335202000000002
SRX540114,1.3985939410000001
SRX540115,1.27966931
SRX1737662,0.1565625
SRX1737664,-0.097536682
SRX1737665,-0.098889714
SRX1737667,0.49925834100000005
SRX1737668,0.175751116
SRX1737670,-0.675009457
SRX6976948,-0.191746788
SRX6976949,-0.02736056
SRX6976950,0.219107348
SRX6976951,-0.047593790000000004
SRX6976952,-0.015749812000000002
SRX6976953,-0.441254678
SRX5630349,0.017808292
SRX5630350,-0.017808292
SRX5630351,0.822825942
SRX5630352,0.290299179
SRX4342817,0.027885844000000003
SRX4342818,-0.169206676
SRX4342819,1.368959066
SRX4342820,-0.09527671
SRX4342821,0.23659754200000002
SRX4342822,1.129298045
SRX1411278,-0.22917742600000002
SRX1411287,0.43520987
SRX1411289,0.326320209
SRX1411279,0.09920434800000001
SRX1411280,0.12997307800000002
SRX1411281,-0.29262344900000004
SRX1411282,-0.173320667
SRX1411283,-0.44423167300000005
SRX1411284,-0.38229237
SRX1411285,-0.116460568
SRX1411286,-0.5253528670000001
SRX1411288,0.42241240900000004
SRX2662717,-0.654097035
SRX2662718,-0.9294575970000001
SRX2662721,-0.040577957000000005
SRX2662722,0.040577957000000005
ERX2300159,-0.215183158
ERX2300160,0.215183158
ERX2300161,-0.769801221
ERX2300162,-0.311370831
ERX2300163,0.052997202
ERX2300164,0.36534731400000003
ERX2300165,-0.032212925
ERX2300166,-0.10393318
ERX2300167,-0.272481036
ERX2300168,0.181808186
ERX2300169,0.063525013
ERX2300170,-0.06685798300000001
SRX6747256,0.069484133
SRX6747257,-0.038674718000000004
SRX6747258,-0.299057304
SRX6747259,0.16665558400000002
SRX6747260,0.10159230500000001
SRX6747265,-0.42207422400000005
SRX6747266,-0.051605695
SRX6747268,0.207566568
SRX6747269,0.009669796000000001
ERX2456848,0.982515793
ERX2456849,0.7945388520000001
ERX2456850,0.9911314760000001
ERX2456851,-1.28412649
ERX2456852,-0.691021968
ERX2456853,-0.26844758500000004
ERX2456854,0.479840941
ERX2456855,0.46345467100000004
ERX2456856,0.538713938
ERX2456857,-0.7405750360000001
ERX2456858,-0.442968489
ERX2456859,-0.298466024
SRX1156127,0.08488870100000001
SRX1156135,-0.08488870100000001
SRX1156136,0.662093135
SRX1156137,0.56275041
SRX1156138,1.122270227
SRX1156140,1.3483962360000001
ERX3558798,-1.689280587
ERX3558799,-1.93467298
ERX3558800,-1.379728541
ERX3558801,-1.3066242620000001
ERX3558802,0.13069275500000002
ERX3558803,0.33793177900000004
ERX3558804,-0.485413974
ERX3558805,0.01678944
ERX3593017,-0.601751338
ERX3593018,-0.379156431
ERX3593020,0.13628874300000002
ERX3593021,0.343533433
ERX3593022,-0.47982217600000004
SRX2520351,-0.014735993000000001
SRX2520352,-0.15071241
SRX2520353,-0.5561992490000001
SRX2520354,-1.143138938
SRX2520355,-0.33976656400000005
SRX2520356,0.020873491
SRX2520357,0.484341477
SRX2520358,0.353877108
SRX2520359,0.69339668
SRX2520360,1.17386301
SRX3169722,0.191540229
SRX3169723,-0.23143222900000002
SRX3169725,0.328914943
SRX3169726,-0.051950732000000006
SRX3169728,-0.27696421
SRX8143226,0.19403018700000002
SRX8143227,-0.19403018700000002
SRX8143228,-0.21667334200000002
SRX8143229,-0.236137591
SRX6853212,0.29473166500000003
SRX6853213,-0.29473166500000003
SRX6853214,0.12266032700000001
SRX6853215,0.321994071
SRX7747527,0.008884327000000001
SRX7747528,-0.031627302
SRX7747537,0.307352346
SRX7747538,0.024069963
SRX7747540,-0.024069963
Paeru_0017,-0.8548602160000001
Paeru_0018,-0.6399322270000001
Paeru_0019,-0.27176103
Paeru_0020,-0.487340965
Paeru_0033,0.142310193
Paeru_0034,-0.35975382
Paeru_0035,-0.379486761
Paeru_0036,-0.135487987
Paeru_0037,-0.578948479
Paeru_0038,-0.253688786
Paeru_0039,-1.120995841
Paeru_0041,-0.7998585730000001
Paeru_0040,-0.6012722930000001
Paeru_0042,-0.61814554
Paeru_0043,-0.25371134100000003
Paeru_0044,-0.5933962070000001
Paeru_0045,-0.187665467
Paeru_0046,-0.053884409
Paeru_0047,0.053884409
Paeru_0048,-0.32764158600000004
Paeru_0049,-0.529349584
Paeru_0050,0.15268957500000002
Paeru_0051,-0.18574622500000001
Paeru_0052,-0.652925439
Paeru_0053,0.20246116
Paeru_0056,-0.624915286
Paeru_0057,-1.168506965
Paeru_0058,-0.320159705
Paeru_0059,-0.259046624
Paeru_0060,-0.224222619
Paeru_0061,-0.6223365150000001
Paeru_0062,-0.681844702
Paeru_0063,-0.045085003000000005
Paeru_0064,-0.022798363000000002
Paeru_0065,0.325773399
Paeru_0066,0.037442147
Paeru_0068,-0.527101453
Paeru_0069,-0.18301834900000002
Paeru_0070,-0.026849736000000003
Paeru_0071,-0.34083656900000003
Paeru_0072,-0.48683076500000005
Paeru_0073,-0.5712320080000001
Paeru_0074,-0.402176894
Paeru_0075,-0.52131821
Paeru_0077,-0.444673452
Paeru_0106,-0.7003717070000001
Paeru_0107,-0.24678954400000003
Paeru_0111,-0.755655368
Paeru_0112,-0.8943115930000001
Paeru_0131,-0.114094052
Paeru_0132,-0.300589202
Paeru_0133,0.08787896
Paeru_0134,-0.037271391
Paeru_0135,0.252245331
Paeru_0136,0.132751684
Paeru_0137,0.373921537
Paeru_0138,0.45835533900000003
Paeru_0161,-0.268949718
Paeru_0162,-0.36008328300000003
Paeru_0166,-0.407304056
Paeru_0167,-0.516817396
Paeru_0220,-1.724283602
Paeru_0221,-0.7373487310000001
Paeru_0258,0.41298738700000004
Paeru_0259,0.051635475
Paeru_0260,-0.20377576300000003
Paeru_0261,1.166404409
Paeru_0262,1.798422506
Paeru_0263,-0.080394951
Paeru_0264,-1.073857729
Paeru_0265,-2.132638159
Paeru_0266,0.10110107600000001
Paeru_0267,-1.8633275500000002
Paeru_0268,-0.7765825080000001
Paeru_0269,-2.049592313
Paeru_0270,0.936630732
Paeru_0271,-0.701371947
Paeru_0282,-1.453042913
Paeru_0283,1.364478687
Paeru_0284,-4.894997999
Paeru_0285,-0.934253101
Paeru_0286,0.113074456
Paeru_0287,-2.698466094
Paeru_0001,-0.143601387
Paeru_0002,-0.33486771
Paeru_0005,1.386126772
Paeru_0006,1.729512068
Paeru_0007,-0.624409092
Paeru_0009,-0.551683656
Paeru_0011,-0.545330263
Paeru_0012,-0.36949729800000003
Paeru_0013,-0.166050033
Paeru_0014,-0.471770952
Paeru_0021,0.7510396840000001
Paeru_0022,0.3759168
Paeru_0023,-0.989792811
Paeru_0024,0.007651893000000001
Paeru_0025,-0.203861744
Paeru_0026,-1.43330856
Paeru_0031,1.198615518
Paeru_0032,1.294584488
Paeru_0102,-0.538585186
Paeru_0103,-0.9414333960000001
Paeru_0104,0.028326646
Paeru_0105,-0.304666632
Paeru_0108,-0.5997769070000001
Paeru_0109,-0.595808894
Paeru_0110,-0.510027593
Paeru_0121,-1.118585854
Paeru_0122,-1.091213153
Paeru_0123,-0.877076209
Paeru_0124,-0.789904072
Paeru_0125,-0.629436477
Paeru_0126,-0.419747274
Paeru_0127,-0.33511963100000003
Paeru_0128,-0.359955364
Paeru_0129,-0.050150267000000005
Paeru_0139,-0.013925421
Paeru_0140,-0.265893863
Paeru_0157,-0.706897122
Paeru_0158,-1.570423061
Paeru_0159,-1.240488687
Paeru_0160,-2.073519993
Paeru_0163,-0.015444023000000001
Paeru_0165,-0.7605182930000001
Paeru_0218,-0.135555698
Paeru_0219,0.5064419370000001
Paeru_0254,-0.32241520300000004
Paeru_0256,-0.482587592
Paeru_0257,-0.725944961
SRX591667,0.20393297800000001
SRX591668,-0.14532844
SRX591669,0.24005103400000002
SRX591670,0.63786483
SRX591671,0.339149747
SRX591675,-0.20393297800000001
SRX591676,-0.252741798
SRX591677,1.056458598
SRX591678,-0.054355089
SRX591679,-0.261726422
ERX541575,1.163778369
ERX541576,1.4682673450000001
ERX541577,0.36559281600000004
ERX541578,0.586432752
ERX541585,2.28388479
ERX541586,1.784420226
ERX541587,0.538411788
ERX541588,-0.538411788
ERX541593,3.461250254
ERX541594,2.978141481
ERX541595,3.908183364
ERX541596,3.9865669290000003
SRX3763712,-0.21815208700000002
SRX3763714,0.21815208700000002
SRX3763715,0.19450349600000003
SRX3763716,0.151493011
SRX3763717,0.30879287
ERX2259197,-0.154446454
ERX2259198,-0.5709614580000001
ERX2259199,0.269980579
ERX2259200,-0.269980579
SRX1516139,0.10144013800000001
SRX1516140,-0.10144013800000001
SRX1516141,-0.27672914800000004
SRX1516142,-0.36762789900000004
ERX2068556,0.13558250400000002
ERX2068557,-0.023956383
ERX2068558,0.033240018
ERX2068559,0.533694541
ERX2068560,-0.237479774
ERX2068561,-0.296214768
SRX2652927,0.510982332
SRX2652931,0.740426119
SRX2652933,-0.24797183
SRX2652935,0.356391346
SRX2652937,-0.108419517
SRX3324112,0.29386934200000003
SRX3324113,-0.29386934200000003
SRX3324116,0.633834191
SRX3324117,0.028768587
SRX6747953,0.18356339
SRX6747954,-0.293425728
SRX6747955,0.109862339
SRX6747957,1.9672278890000001
SRX6747958,1.965952653
SRX7058493,0.644658091
SRX7058498,0.23455033600000003
SRX7058499,0.189900897
SRX7058500,-0.1532788
SRX7058501,-0.029007223000000002
SRX7058502,0.08895863200000001
SRX7058503,0.127219157
SRX7058504,0.178439377
SRX7058505,0.24997634600000002
SRX7058506,0.285113913
SRX7058508,0.222513708
SRX7058510,-0.329449884
SRX7058511,-0.49364758300000006
SRX7058512,1.196998381
SRX7058513,1.143281283
SRX7058514,1.295604854
SRX7058515,1.27037737
SRX7058492,0.44430201
SRX7058494,1.2073737310000001
SRX7058495,1.298119937
SRX7058509,0.12124815100000001
SRX6923929,1.632095347
SRX6923930,2.124369342
SRX6923932,1.906752498
SRX6923933,0.13881631800000002
SRX6923934,0.05940397100000001
SRX6923935,-0.19822028900000002
SRX7940213,-0.367286031
SRX7940214,0.26569132700000003
SRX7940215,0.10159470400000001
SRX7940216,-1.067197217
SRX7940217,-1.224254534
SRX6874325,-0.21131102000000002
SRX6874326,-0.048832016000000006
SRX6874327,-0.06742611
SRX6874328,0.49150059700000004
SRX6874329,-0.163931451
SRX6874330,0.217412248
SRX6874331,0.6016827690000001
SRX6874332,0.5671856980000001
SRX6874333,0.726385705
SRX6874334,0.8867335040000001
SRX2255950,-0.554500259
SRX2255951,-0.9031997690000001
SRX2255954,0.041550875
SRX2255955,-0.041550875
ERX2813653,-0.010847437000000001
ERX2813654,0.010847437000000001
ERX2813656,-0.154193039
ERX2813657,0.020695584000000003
ERX2813658,0.10008610800000001
SRX2711962,-0.026623263
SRX2711963,0.026623263
SRX2711964,-1.148198722
SRX2711965,-1.262994144
SRX2711966,-0.667812778
SRX2711967,-0.118629225
