,A,ArcA,Fnr,Crp,ihfB,Fur,RpoS
R2,,0.12325757534015414,0.04865180990699913,0.017711004018487797,0.01728550152024566,0.015281740004855493,0.0008530336657376347
xmin,,-3.6017898952,-7.8525940196,-9.852476477,-3.9178110457,-9.893921886,-8.919357295
xmid,,-1.5013324800199794,-1.03313004147343,-0.6582731875592621,,0.8270119273864536,0.16926808340545943
xmax,,3.7109145168,4.4171410107,2.5388323397,3.3245249795,3.7262191745,4.1241387708
ystart,,2.3267992629399044,-1.8521504497194614,0.22575298740668803,2.0983673910206226,-0.468685083863535,-0.4654613035875364
yend,,-7.020874670282513,6.19953721460207,-3.288361214855894,-2.8986264936867476,-7.190889933342239,-1.6037438631036234
SRX1125282,-0.2525376301,0.1536251284,-0.0825740115,0.0344951212,-0.1131958483,-0.019353005700000002,0.12389400360000001
SRX1125283,-0.0432714897,-0.1085541986,0.16485310350000001,0.1435731223,0.0772468121,0.2305871583,0.0917269352
SRX1125284,0.6991624230000001,-0.269085791,0.7752711503,0.2534372822,0.0671979825,0.7275786303,0.2668871882
SRX1125285,1.2045989666999999,0.0131235692,0.9066270852,0.283920339,-0.031233225400000002,1.208661552,0.6346371772
SRX1125286,6.6661164179,0.26443002660000003,0.95171602,0.3175329239,0.0201842575,1.1169083627,0.7311205703
SRX1125287,11.78797299,-0.1415413156,1.0192587317,0.17602055360000002,-0.1696861744,1.0786663615,0.047843636
SRX1125288,0.7692267173,-0.1227035083,0.1234264677,0.005256366,0.030994294500000002,-0.0089366757,-0.011411859
SRX1125289,-0.4075067637,-0.4182880135,0.4334180231,0.2819816342,0.0539088152,0.5340986209,0.1487334191
SRX1125290,0.9867340709,-0.1456535487,0.7979562918,0.2801678667,0.1097352022,0.8046125807000001,0.5719214457
SRX1125291,2.3854794586,0.0864050615,0.8964971719,0.4762089513,0.2340397233,1.2652089755,0.7703039475
SRX1125292,7.9589911724,0.326354303,0.9047534472000001,0.5370175003000001,0.2579735379,0.9467520126000001,0.9491057834000001
SRX1125293,10.2272864384,0.2809830862,0.9185125141,0.5086233319,0.5504911606,1.0346662242,0.7949646441
SRX1125294,-0.5166890872000001,-0.0309216201,-0.040852456200000005,-0.039751487200000005,0.0822015539,0.028289681400000002,-0.1124821446
SRX1125295,0.048331832500000005,-0.0305290823,0.2208704434,0.2905320638,0.4189166854,0.43446716560000004,0.0485519624
SRX1125296,0.8652333488,-0.30555163100000005,0.7920547098,0.1859933018,0.2529822276,0.6134168988,0.2451175693
SRX1125297,1.0493947944,0.0006214416,0.8818752216,0.3699621097,0.39341672120000004,1.29823639,0.5595453177
SRX1125298,5.4296445456,0.6068628834,0.9825066807,0.5483756585,0.2673414086,1.3466842796,1.0364768899
SRX1125299,10.2002799124,0.5516321501,0.9444446514,0.50143841,0.42329341260000003,1.1321686126000001,0.7744984592
SRX5694250,-2.706378668,0.49107579710000004,0.0403637158,-0.4516798918,2.297485246,0.15514151240000001,-0.6575883396000001
SRX5694251,-0.7457397602,-0.9538123343,0.5459244040000001,-1.8893970692000002,-1.5657193052,0.4377684502,-0.41439528130000003
SRX5694252,2.1016590496,0.3631602573,-0.6791990309,-0.1701238306,1.171465281,-0.4062446666,-1.5267586985000001
SRX5694253,-0.47174832320000004,-0.17749356630000002,0.0078028844000000005,0.1340371706,0.294111116,0.46838079790000003,0.013532579400000001
SRX5694254,-0.1072928259,-0.2571254471,-1.3129271236,-0.8477189713000001,0.9331627303000001,0.6257311257,-0.4507050045
SRX5694255,6.0634946833,-0.5795873771,0.20689053170000002,0.1307715067,-1.5948301920999999,1.2222652304000001,-1.3699185348
SRX5694256,3.8363095503,-0.6394832572,-0.045048951000000004,-0.2340068764,-0.6969566792,0.18962784700000002,0.0290375594
SRX5694257,-0.0258807993,-0.5994008193,0.4656249649,-0.33700626310000004,-0.24371025970000001,1.1965334314,-0.18024768900000002
