,A,GlcC,ArcA,ihfB,PdhR
R2,,0.18000216262048996,0.03970245314831955,0.03552741894747402,0.032786929027829204
xmin,,-4.455594322,-3.6017898952,-3.9178110457,-7.947651277
xmid,,-3.2880445375734095,,-1.048569472213227,-1.0067963105543323
xmax,,4.9033719648,3.7109145168,3.3245249795,5.123006498
ystart,,-2.5609386325686896,-2.767718120586974,-0.8780555177561744,0.6786720233738657
yend,,4.924433954082895,2.8111055714374613,3.009374725249365,-2.9153904969593074
SRX1125282,0.1674931076,-0.1598662559,0.1536251284,-0.1131958483,0.0786388769
SRX1125283,-0.04261182,0.0240404191,-0.1085541986,0.0772468121,1.7268348803
SRX1125284,-0.2784451891,0.937803362,-0.269085791,0.0671979825,3.5512277696
SRX1125285,-0.0491282761,2.8405669241,0.0131235692,-0.031233225400000002,3.7031529341000002
SRX1125286,1.0606431871,3.1677535052,0.26443002660000003,0.0201842575,3.7042838061000003
SRX1125287,1.4364342536999999,3.1466198752,-0.1415413156,-0.1696861744,3.538023116
SRX1125288,0.1950536923,-0.3618485234,-0.1227035083,0.030994294500000002,-0.0471191304
SRX1125289,0.7470989744000001,0.1712308115,-0.4182880135,0.0539088152,2.8958078209
SRX1125290,0.7430488641,2.4145718775000002,-0.1456535487,0.1097352022,3.7406613857
SRX1125291,0.2628219693,3.5288338852,0.0864050615,0.2340397233,3.74836876
SRX1125292,1.2048808216,3.5253588164,0.326354303,0.2579735379,3.6725961106
SRX1125293,1.66061898,3.3965442763,0.2809830862,0.5504911606,3.3628660916
SRX1125294,-0.3625467999,0.5217147794,-0.0309216201,0.0822015539,-0.0315197465
SRX1125295,0.7270009329,0.0108183729,-0.0305290823,0.4189166854,1.8653251552999999
SRX1125296,-0.1005235227,0.8383854562,-0.30555163100000005,0.2529822276,3.4807715254
SRX1125297,0.196666958,2.9992483233,0.0006214416,0.39341672120000004,3.6670593325
SRX1125298,0.5974874429,3.3216809454,0.6068628834,0.2673414086,3.7439360697
SRX1125299,1.5705458012,3.5203814060000003,0.5516321501,0.42329341260000003,3.5139543053
SRX5694250,2.0117019702,-0.5521448089000001,0.49107579710000004,2.297485246,0.7253847981
SRX5694251,-1.5926395306,0.5473571611,-0.9538123343,-1.5657193052,1.3865036554999999
