,A,PhoB,RstA,RcdA,hns
R2,,0.16613789460475015,0.09351655552198501,0.03512055221848476,0.0
xmin,,-5.282633958,-3.2572300145,-2.1774955545,-1.997976621
xmid,,-0.9197637873203776,-0.06056162720639879,,
xmax,,5.022704642,3.4919983735,2.1948871245,2.38016355
ystart,,-2.1542973143887494,-1.3170889651488502,-2.531012830746261,-0.8064497872601227
yend,,8.334944395318688,5.370927686855195,1.3596136410015096,-0.8064497872601227
control__wt_glc__1,0.2639719205,0.022011199000000002,-0.0321274015,-0.1090069385,0.11716061
control__wt_glc__2,-0.2639719205,-0.022011199000000002,0.0321274015,0.1090069385,-0.11716061
fur__wt_dpd__1,1.8890164583,0.49364744400000005,-0.1451883045,0.031102321500000002,-0.21220296
fur__wt_dpd__2,1.4102415071,0.6525144970000001,-0.1512956355,-0.1831453775,-0.15081341
fur__wt_fe__1,-0.0904800449,-0.33624591,-0.2104048105,-0.2896344335,-0.56740864
fur__wt_fe__2,0.0884194903,-0.251041913,0.0507762815,-0.5538037435000001,-0.57501992
fur__delfur_dpd__1,1.2284427437,0.48604134,-0.4748647425,0.0614104865,0.028218820000000002
fur__delfur_dpd__2,1.2947503917,0.240288086,-0.3020122805,0.0391804045,0.13773749
fur__delfur_fe2__1,0.3677409813,0.022271428000000003,0.06758122550000001,-0.12042662450000001,-0.38894031
fur__delfur_fe2__2,0.26769129070000003,0.086509865,0.1063544865,0.1877776665,-0.41893693
acid__wt_ph5__1,6.9744072044,0.28386598700000004,0.42733937050000004,0.10383371450000001,-0.14121664
acid__wt_ph5__2,6.747439193,0.45290884800000003,0.4950164005,-0.1284748675,-0.11730537
acid__delgadx_ph5__2,7.2605913328,0.111884694,0.6027205335,-0.3766341805,0.03221592
acid__delgadw_ph5__1,7.1833090938,0.517494837,0.4482828575,-0.08869141950000001,-0.05329888
acid__delgadw_ph5__2,7.190479114,0.460631214,0.4141111475,0.1346789125,-0.07889036
acid__delgade_ph5__1,5.8720001398,0.641170009,0.47837226050000003,0.07825267250000001,-0.15523974000000001
acid__delgade_ph5__2,5.6354830807,0.568871652,0.46060794250000003,-0.0670982225,-0.13083348
oxidative__wt_pq__1,0.3244773126,0.521026505,-0.0679146245,-0.0508669255,0.48668311000000003
oxidative__wt_pq__2,0.42838548800000004,0.8105942770000001,-0.1701084965,0.2210400335,0.38230353
oxidative__deloxyr_pq__1,-0.49922319800000003,0.8091225999999999,-0.0466011135,0.29585781450000004,0.55926339
oxidative__deloxyr_pq__2,-0.45242399650000004,0.7159930750000001,0.0026436205,0.1270244825,0.64062106
oxidative__delsoxr_pq__1,0.3535419039,0.40233147300000005,0.36915773150000003,-0.3954181165,0.30159602
oxidative__delsoxr_pq__2,0.4843613229,0.5397652470000001,0.4315238115,0.030098944500000002,0.24839989999999998
oxidative__delsoxs_pq__1,0.15564040070000001,0.6787950770000001,0.0601145705,-0.0102416355,0.32007261
oxidative__delsoxs_pq__2,-0.13688129940000002,0.6795322500000001,0.1714651225,0.3698214395,0.31466579
nac_ntrc__wt_csn__1,4.6354632688,0.70581766,3.0219897935,0.16789987450000002,-0.14105018
nac_ntrc__wt_csn__2,4.3628044574,0.722466445,3.0402714325,0.2224867895,-0.20188572
nac_ntrc__wt_cytd__1,5.0387382075,0.25602124200000004,3.4919983735,-0.24247614350000002,0.01979154
nac_ntrc__wt_cytd__2,4.9027221051000005,0.12034849700000001,3.4485512635,-0.5420329355,0.16168658
nac_ntrc__wt_gln__1,3.7326736209,0.57113174,3.2802808635,0.2684668125,0.37983694
