,A,GadE,GadX,GadW,RpoS,hns
R2,,0.8787047860294186,0.5665210828128594,0.5192290078789393,0.03745125475320554,0.025034476135170403
xmin,,-10.6456861873,-9.8758005074,-7.983339262,-8.919357295,-11.2828757996
xmid,,,,,-1.9977150778042998,0.002287143580651981
xmax,,8.414435029,6.3348834177,5.316441055,4.1241387708,2.8974495703
ystart,,-28.962336687150085,-36.331736217339085,-28.94886605534311,-7.226290079219213,-2.8863498209091363
yend,,21.849371573894935,20.645841603119393,15.742861108364636,2.5602445945498093,-10.694549694004822
aat__00m_00s__1,0.38395537150000003,0.0621393482,-0.12482847,-0.060934301,0.12389400360000001,-0.0832222629
aat__00m_30s__1,1.1161002151,-0.0775836905,-0.2006028142,-0.21450649870000002,0.0917269352,-0.0215977273
aat__01m_00s__1,0.9341544930000001,-0.3037116648,-0.453886748,-0.3494689643,0.2668871882,0.014475031800000001
aat__02m_00s__1,0.9905326241,-0.6782840429,-0.5297956462,-0.4113986553,0.6346371772,-0.069698208
aat__05m_00s__1,-0.14743267940000002,-1.4889721360000001,-0.9186168223000001,-0.7466130893,0.7311205703,-0.28960489710000004
aat__10m_00s__1,-2.840813129,-2.4019165461,-1.090569979,-0.8276321425000001,0.047843636,-0.2321548066
aat__00m_00s__2,-0.5232447532,0.041719227000000005,0.168993417,-0.0400976885,-0.011411859,-0.0482583698
aat__00m_30s__2,-0.9297689719000001,-0.424849611,-0.0410269929,-0.1383482034,0.1487334191,-0.2218292502
aat__01m_00s__2,-0.2499935962,-0.44893103030000003,-0.3590915656,-0.3404777443,0.5719214457,-0.0773807522
aat__02m_00s__2,-0.5386800372,-1.0487204906,-0.6117241531000001,-0.4329814007,0.7703039475,-0.0678102107
aat__05m_00s__2,-1.4187444424,-1.6855790384,-0.8113224360000001,-0.7615936194,0.9491057834000001,-0.1422065635
aat__10m_00s__2,-2.8604804918999998,-1.4300344111,-0.3007966758,-0.4184312479,0.7949646441,0.2490992528
aat__00m_00s__3,0.1392893817,-0.1038585752,-0.044164947,0.1010319895,-0.1124821446,0.13148063270000002
aat__00m_30s__3,-0.11688113380000001,0.0621604285,-0.0560384067,-0.18504000180000002,0.0485519624,0.2910135497
aat__01m_00s__3,0.40803248070000003,-0.19929222430000001,-0.3621821525,-0.3245291436,0.2451175693,0.1734109775
aat__02m_00s__3,0.1562104847,-0.3393068897,-0.256270286,-0.2932593882,0.5595453177,0.28443055370000003
aat__05m_00s__3,-0.7382111,-0.9678010195000001,-0.6250523681,-0.5088306049,1.0364768899,0.0742654028
aat__10m_00s__3,-1.6323058869,-1.2284636416999999,-0.44868729430000004,-0.3645023391,0.7744984592,0.23033813420000002
abx_mega__dmso-2__1,-0.1285441219,-1.7063474712,-2.3499672652,-1.747753737,-0.6575883396000001,-1.3295713452
abx_mega__ery_dmso__1,-6.7688195027999996,-1.4227546253,0.7928732780000001,0.2163582634,-0.41439528130000003,0.6661338201
abx_mega__nal_naoh__1,-4.9721556135,-4.5605077804,-2.4224282235,-4.8910971814,-1.5267586985000001,-1.732107911
abx_mega__dmso-5__1,2.3473678117,1.045356825,0.1668165807,0.4747264939,0.013532579400000001,0.16751679260000002
abx_mega__rif_dmso__1,2.2556609119,2.0593195543,1.9662204062000002,2.8553766501,-0.4507050045,-0.3087090213
abx_mega__novo_h2o__1,-0.7033795109000001,0.1046641752,0.501196129,0.9282738501000001,-1.3699185348,-1.4290721084
abx_mega__rach_dmso__1,-2.2293426777,-0.4964382377,-1.7148761242,-0.578146689,0.0290375594,-0.1462527268
abx_mega__metro_dmso__1,-1.7737228512,0.38158250460000004,1.5200517399,0.5418337367,-0.18024768900000002,-0.641073463
