,A,ZntR,Zur
R2,,0.03594528096815186,0.0022873023155663974
xmin,,-3.5871777707,-4.120676179
xmid,,1.5434366054830955,
xmax,,5.2048161129,3.1867238944
ystart,,0.11498056678186575,0.5914453550970349
yend,,4.650792366906914,-0.1874457519251248
SRX1125282,2.388182234,0.1673239917,-0.1298713205
SRX1125283,0.948653407,0.1396508076,-0.08519224830000001
SRX1125284,1.207211209,0.0694731231,-0.4878667581
SRX1125285,1.0831088317,0.1823611795,-0.6905716616
SRX1125286,1.2329565399,0.0965711914,-0.6204074748
SRX1125287,0.5901796381000001,0.19068916100000002,-0.5000335856
SRX1125288,-0.8782686884,-0.2230367935,0.0685894439
SRX1125289,-1.8650057293,-0.6810565924,-0.3546748147
SRX1125290,0.1556777184,-0.0659503456,-0.6046959363000001
SRX1125291,0.4549081579,-0.1395687002,-0.5928255183000001
SRX1125292,1.3787150602,0.014438859200000001,-0.8049367247
SRX1125293,1.9929081139,0.383850134,-0.7874484905
SRX1125294,-1.5099135456,0.0557128018,0.0612818766
SRX1125295,0.7333586550000001,0.3570152869,-0.1176929466
SRX1125296,0.594767346,0.33776014200000004,-0.5264352113
SRX1125297,0.3970639366,0.2516140731,-0.6591364613
SRX1125298,1.4515407976999999,0.1344716233,-0.6547811615
SRX1125299,1.3047537073,0.1892863253,-0.4890993818
SRX5694250,0.15981632040000002,-2.1610508063,1.2060303867
SRX5694251,5.0355327649,-0.51805632,-0.9460268205000001
SRX5694252,2.5682444114000003,-3.5521589236,1.3460908086
SRX5694253,2.5832857636,0.3464408567,-0.0948180939
SRX5694254,4.3197033176,1.3495040259,-0.7789089331
SRX5694255,-0.024622941500000002,-2.5265700132999998,-2.2852230221
SRX5694256,3.3469587015,-0.471726927,-0.1754779697
SRX5694257,5.4363726854,0.8377401044,0.039413112300000004
SRX5694258,2.2773528585,-0.07361138860000001,0.1461067597
SRX5694259,1.3946014056,0.1999872745,-1.3363879369
SRX5694260,1.9274740826999999,-0.053901814000000006,0.38920364700000004
SRX5694261,1.2693866541,-2.7903797690000003,-0.43603259310000003
SRX5694262,0.1311042993,-2.532340186,0.8736988603
