,A,TdcA,CadC
R2,,0.8463764191950333,0.10907210450295668
xmin,,-1.218417149,-1.8547352105
xmid,,3.31559524558939,0.4480624025355293
xmax,,11.093441281,3.3264744465
ystart,,0.9217009951442687,0.9836477714077729
yend,,34.58943942001438,8.917306964796047
ecoli_00001,-0.2330147555,-0.29988375100000003,-0.11645382450000001
ecoli_00002,0.2330147555,0.29988375100000003,0.11645382450000001
ecoli_00003,-0.0089985941,-0.274100966,-0.2661074375
ecoli_00004,-0.6555917296,-0.7968998150000001,-0.48404418250000003
ecoli_00005,1.2291831065,-0.366843024,-0.08638754950000001
ecoli_00006,1.3939811676,-0.157307745,0.2560054115
ecoli_00007,-0.7034891291,-0.5301953110000001,0.1232822315
ecoli_00008,-0.5795765345,-0.45731151900000006,-0.0276466505
ecoli_00009,0.7391714563,-0.49518008,0.00032731650000000003
ecoli_00010,1.0987992402,-0.6764674930000001,-0.17323969150000001
ecoli_00011,0.1380084124,-0.44069308100000004,-0.1079845475
ecoli_00012,0.4821057271,-0.6307232500000001,0.0745928745
ecoli_00014,0.6739023598,-0.096973136,0.3144445905
ecoli_00015,0.9216893619000001,-0.070844907,0.1328072535
ecoli_00016,1.0756206499,-0.304900648,0.0100853555
ecoli_00017,0.6827949732,-0.451871581,-0.0171172045
ecoli_00018,0.2690517139,-0.386239084,0.2958592105
ecoli_00019,0.1963118096,-0.48082933200000005,-1.0596197075
ecoli_00020,-0.10693056370000001,-0.73437624,-0.7545904805
ecoli_00021,-0.7251852174000001,-0.8651753090000001,-0.7542395325
ecoli_00022,-0.42739105250000003,-0.76631651,-0.6148506405
ecoli_00023,0.3852070999,-0.295936494,-1.1745657905
ecoli_00024,0.43886880920000004,-0.829462098,-0.7367955295
ecoli_00025,-0.556306995,-0.13716604400000001,-1.0224081455
ecoli_00026,0.0454073534,-0.10017548400000001,-0.2792239395
ecoli_00027,-0.6578062811000001,-0.25247758800000003,0.23446031950000001
ecoli_00028,-0.6149942207,-0.213833551,0.3929511015
ecoli_00029,0.1699355145,-0.32545171700000003,0.22537533950000002
ecoli_00030,-0.094516455,-0.209863549,0.0775392535
ecoli_00031,-0.0801945099,-0.42544290700000004,0.7400325985
ecoli_00032,-0.27657774020000003,-0.816428563,0.8783132335
ecoli_00033,1.0247823066,1.061357625,0.5494352665000001
ecoli_00034,0.1659982996,-0.26420454400000004,-0.1130552635
ecoli_00035,0.5349610761,-0.300978319,0.0278402425
ecoli_00036,0.7137576618,-0.683680464,0.1325756995
ecoli_00037,-0.081757382,-0.569837138,0.31780021550000004
ecoli_00038,0.16064674810000001,-0.834139662,0.5607995045
ecoli_00039,1.4278837213,0.45116162,-0.7301239905
ecoli_00040,1.3977966682,-0.897553967,-0.4119914135
ecoli_00041,-0.0202273053,-0.884687591,-0.6976915925
ecoli_00042,0.5187126427000001,-0.24666584100000002,-0.7888615045
ecoli_00043,0.9514484372,-0.7113955040000001,-0.7851146665000001
ecoli_00044,0.8128397714000001,-0.047749918,-0.3964599555
ecoli_00045,0.3051601658,-0.36784159600000005,-1.0086462645
ecoli_00046,0.8264506282,0.079021016,-0.8909332185000001
ecoli_00047,0.35240846740000004,-0.047580074,-0.2060449145
ecoli_00048,0.5116742381,-0.779276606,-0.5998612045
ecoli_00049,-0.4504983937,-0.720643914,-0.4005004715
ecoli_00050,0.23703103650000001,0.17574535900000002,0.6785115815
ecoli_00051,0.0684864283,-0.43442499900000003,0.2696968245
ecoli_00052,0.2103240807,0.013349895,0.062108855500000004
ecoli_00053,0.3814842523,0.071298102,-0.0009534125
ecoli_00054,4.1176022253,3.488589051,2.8350238825
ecoli_00055,3.4169819832,3.374863506,2.7741923145
ecoli_00056,2.0817555505,3.369105392,0.1942242035
ecoli_00057,0.7477130572,3.14063315,-0.46692887450000004
ecoli_00058,0.6455622269,1.768598914,-0.4037498815
ecoli_00059,1.1475043184,2.058582136,-0.2169945415
ecoli_00060,-0.3800549582,-0.121584774,0.0566284035
ecoli_00061,-0.2505285172,0.179708749,0.1131262325
ecoli_00062,0.9028871731,1.306560672,0.3242926595
ecoli_00063,-0.0186499114,1.906329247,-0.45822817450000003
