,A,ArgP,BasR,SlyA
R2,,0.058052341818252584,0.03157146996121063,0.008712466074225045
xmin,,-4.5737037795,-3.7883617059,-5.1892193747
xmid,,-2.487797292215328,0.5658843424737706,
xmax,,2.1479488709,4.1957462421,2.6796664345
ystart,,-3.029256257617634,-0.78423986163407,0.6906944201997296
yend,,1.4124925327857867,-7.393096014683464,-1.7794077244363324
aat__00m_00s__1,-0.7874546864,-0.0507474141,0.2367996392,-0.0073164129
aat__00m_30s__1,-0.8087578046,-0.0689652604,0.1143877792,-0.0176087701
aat__01m_00s__1,-0.4670186237,-0.054603256100000004,0.11715970510000001,-0.06771090140000001
aat__02m_00s__1,-0.5949736253,-0.2914783029,0.115765952,-0.3248925934
aat__05m_00s__1,0.0569179735,-0.3252448532,0.0953267889,-0.6794134567
aat__10m_00s__1,-1.1327169201,-0.714272133,-0.1388090048,-0.9732609802000001
aat__00m_00s__2,0.8576732704000001,0.0650028666,-0.3908449242,0.14062048900000002
aat__00m_30s__2,1.3138377434000001,-0.0042388991,-0.08091621780000001,-0.0527885357
aat__01m_00s__2,0.0564787483,-0.0568592822,0.09128027150000001,-0.18870232050000002
aat__02m_00s__2,-0.0981884226,-0.029569054900000002,-0.0626757948,-0.3275659388
aat__05m_00s__2,-0.2197687345,-0.1828295576,0.1872986761,-0.5965374689
aat__10m_00s__2,-1.4104500814,-0.3195135595,0.2136605962,-0.45730436890000004
aat__00m_00s__3,-0.07021858410000001,-0.0142554525,0.154045285,-0.1333040761
aat__00m_30s__3,-0.5270865795,-0.0369363439,0.4514123151,0.45826808020000004
aat__01m_00s__3,-0.4519507787,-0.1769045358,0.2300552669,0.1323118037
aat__02m_00s__3,-0.8170263747000001,-0.2485749917,0.3980087547,0.1297730748
aat__05m_00s__3,-0.44049335970000003,-0.1969611657,0.3579994312,-0.3385879656
aat__10m_00s__3,-1.3347248866,-0.31113705350000004,0.2297442661,-0.5442686818
