,A,Fnr,NikR,RpoN,NarL
R2,,0.26443881494726484,0.038114344443242465,0.012634268841458574,0.0060146095695806645
xmin,,-7.8525940196,-5.0098840264,-2.3873792415,-3.0560450505
xmid,,-1.5563990535762389,-0.411797210738715,-0.1987129232484229,
xmax,,4.4171410107,2.9986611847,1.8751403472,2.4694155805999998
ystart,,4.5003995268395816,0.3932414648463619,1.292120535709337,1.9410134274561728
yend,,-11.222804211541387,4.580228362707859,-1.2631436522762425,0.045632981257809235
aat__00m_00s__1,0.19976274400000002,-0.0825740115,-0.0031027178,-0.1868415971,0.0834143878
aat__00m_30s__1,-0.08627898240000001,0.16485310350000001,-0.1111247662,-0.20162633530000001,0.0504933555
aat__01m_00s__1,-0.21252030330000002,0.7752711503,0.0589933882,-0.1942665755,0.031696480900000004
aat__02m_00s__1,-1.5438485687,0.9066270852,-0.3426939067,-0.1859665862,-0.0029696078000000002
aat__05m_00s__1,-3.0442326398,0.95171602,-0.20417061150000002,-0.1681106608,-0.3118176763
aat__10m_00s__1,-2.3102672609,1.0192587317,-0.3648394605,-0.3706350145,-1.1250431231
aat__00m_00s__2,-0.5477002151,0.1234264677,-0.0630195568,0.3031607257,0.0253800388
aat__00m_30s__2,-0.3898836578,0.4334180231,0.071524338,0.039643016600000004,-0.0159687598
aat__01m_00s__2,-0.4668945675,0.7979562918,-0.1058646312,-0.0013643723,0.11729304230000001
aat__02m_00s__2,-2.4751548073,0.8964971719,-0.0283230605,-0.0414927971,-0.0645860458
aat__05m_00s__2,-3.0954791605,0.9047534472000001,-0.2077707818,-0.0746450885,-0.4360385312
aat__10m_00s__2,-1.8322765237,0.9185125141,-0.132110484,-0.23586419190000002,-0.7155510694
aat__00m_00s__3,0.3479374711,-0.040852456200000005,0.06612227450000001,-0.1163191286,-0.10879442660000001
aat__00m_30s__3,-0.3429428348,0.2208704434,0.2799145946,-0.0736221406,0.004012204
aat__01m_00s__3,-0.8843245872000001,0.7920547098,-0.1080947263,-0.17730413120000002,0.1317350897
aat__02m_00s__3,-2.373353331,0.8818752216,-0.1576578253,0.020768331,0.0470774695
aat__05m_00s__3,-2.3132579793,0.9825066807,-0.18575849800000002,-0.0944720948,-0.5255995358000001
aat__10m_00s__3,-2.7055249922,0.9444446514,-0.2023512116,-0.2044310802,-0.9168248342
abx_mega__dmso-2__1,-3.174469967,0.0403637158,1.2351606385,1.436026237,1.9154446272
abx_mega__ery_dmso__1,-0.27470959,0.5459244040000001,-0.6270605004,-0.4394529035,-0.7280519322
abx_mega__nal_naoh__1,4.9075620375,-0.6791990309,1.4894332541,0.8772278743,1.1947183288
abx_mega__dmso-5__1,-0.07628866990000001,0.0078028844000000005,0.0737599017,0.48399777580000003,0.1780909309
abx_mega__rif_dmso__1,-0.5363228685,-1.3129271236,0.7259655031000001,0.5157631166000001,1.2955909793
abx_mega__novo_h2o__1,0.8042452387,0.20689053170000002,-1.4153684103,-0.47626519900000003,-1.6319055235
abx_mega__rach_dmso__1,1.8651249706000002,-0.045048951000000004,0.5092632932,0.2802484757,0.4734941154
abx_mega__metro_dmso__1,-0.9881002633,0.4656249649,0.5164317675,0.5245333254,-0.1664938681
abx_mega__dmso-6__1,-1.4346197226,-0.3784852643,0.3763684845,0.6253545409,0.5350788069
abx_mega__chl_h2o__1,-3.1268590874,0.3019332691,-1.0262607052,-1.1569223535,-1.1516025581
abx_mega__cst_h2o__1,1.016613895,0.0320312785,-0.2669503593,0.47138731170000003,0.2589008747
abx_mega__tec_h2o__1,2.9988494474,-2.6112045671,1.9595330911,1.1163565781,0.6985329095
abx_mega__str_h2o__1,3.1287907617,0.2482154852,0.24425969990000002,1.0148136427,1.5091314717
abx_mega__ctx_h2o__1,-0.6140586945000001,0.0230880885,-0.7290697435,0.17737386800000002,0.0599282165
abx_mega__nal_naoh__2,1.1094243545,0.3075812793,0.046922492,0.29679740990000003,-0.3923176547
abx_mega__phos_h2o__1,3.1425959906,-0.7038356709,0.6078901869000001,0.0454729513,-0.4271510985
abx_mega__dmso-5__2,0.3644267966,-0.2244639849,0.3652508888,0.3122538416,0.2821523801
abx_mega__polmyx_h2o__1,-0.9591709711,0.32801548280000004,-0.25917015200000004,0.2227196066,0.07094828710000001
abx_mega__h2o-8b__1,-1.3431914705,-0.0363903054,-0.346881531,0.5063994107,0.19399510790000002
abx_mega__h2o-6__1,-0.3439044657,0.1539794799,0.0072130095,0.3051735166,0.0642121101
abx_mega__thio_dmso__1,2.3052511621000003,-0.315089026,-0.8122704743,-0.5165923039,-0.07041621590000001
abx_mega__phos_h2o__2,-1.3415002876,-0.19593564700000002,-0.9013295268,0.2233186073,0.2387249998
abx_mega__ctx_h2o__2,4.2725012521,0.1826918599,0.32130768400000004,0.29327006640000003,0.4765491027
abx_mega__lzd_dmso__1,1.16804654,0.6125076868,-0.279440307,-0.4751825277,-0.9480551533
abx_mega__naoh-9__1,1.9129690284,0.518483773,0.1409795573,0.7141301084,0.3874315129
abx_mega__dox_dmso__1,-3.7017952819,0.6077452839,-1.3145111456,-0.1250149644,-0.30677911280000003
abx_mega__phos_ethanol__1,-0.3661633119,0.7489705412000001,-1.9611008573,0.1832669966,0.45546757130000004
abx_mega__teix_dmso__1,4.1276917793,-1.2905505804000001,1.1506417527,0.24005400300000002,0.8811496315
abx_mega__dmso-10__1,-3.4441180331,0.4743514224,-1.6362277327,0.46972722450000004,0.5259159415
abx_mega__van_dmso__1,-5.4145564586,0.8302627999000001,-4.1081032859,-1.4643864076,-1.1704676525
abx_mega__ramo_h2o__1,0.16217515,-0.8002749045,-0.5961473575,0.1260201991,-0.1456506972
abx_mega__tec_h2o__2,1.5248896201000002,-1.6551107114999999,0.4980298898,0.3343991052,-0.0240085228
abx_mega__h2o-7__1,5.7811382625,0.21844817860000001,1.1417905788,0.4390523529,0.5443759374
abx_mega__cro_h2o__1,3.4021948315,0.0879280571,0.3602321569,0.0244285967,0.9783104235000001
abx_mega__tric_ethanol__1,-4.453895762,0.8900785727,0.2282425429,0.8885968622,0.7166860521
abx_mega__nor_naoh__1,1.5191736858,-0.0313845657,0.49901106770000003,0.0717713583,-0.0818044565
abx_mega__teix_dmso__2,0.9553965271,-0.4150383489,0.40263984270000003,0.0577123861,0.2538442496
abx_mega__nal_naoh__3,1.6186011389,0.2272209504,0.4621273775,0.3177105557,-0.32002223220000003
abx_mega__novo_h2o__2,1.1554214013,0.16806743940000002,-1.4151208472,-0.515894651,-1.4231800896
abx_mega__dmso-10__2,-2.5106758232,0.40832126950000003,-0.6080409068,0.5026956472,0.371962511
abx_mega__phos_h2o__3,0.5047584035,0.0877333852,0.1820549558,0.25320663050000003,0.040928029000000005
abx_mega__dmso-6__2,-1.7155135963,-0.1654402185,0.2112327944,0.399044075,0.3072546497
abx_mega__rfp_ethanol__1,3.8493609078,-0.12067474560000001,-1.4354493359,-0.1980047811,0.3371132867
abx_mega__dmso-5__3,0.7832229233,0.1613415464,0.5553219483,0.44623232,0.3899857407
abx_mega__amyc-d_dmso__1,-2.7504197035,0.257224454,-1.6213556808,-1.6569644717,-1.9056921008
abx_mega__sxt_dmso__1,6.8902186592,0.047755995,0.8872591336000001,0.3805901292,1.3605355026
abx_mega__dmso-1__1,-4.4070303956,-0.1308553567,-0.7941201029,0.1000790257,-0.1621879518
abx_mega__pen_h2o__1,0.1786233317,-0.3609283863,-0.6343584739,-0.6047470268,-0.4011629601
abx_mega__dmso-10__3,0.4396887222,0.20815252,-0.507171626,0.5817327388,0.6602530221
abx_mega__nal_naoh__4,0.8235016049,0.0028938907,-0.1831742698,0.4131544234,-0.3741219792
abx_mega__cip_naoh__1,1.9549959237999999,0.11078089020000001,-0.0425135754,0.3139018471,-0.3082369024
abx_mega__pen_h2o__2,1.0653309556,-0.2836689398,-0.3152161365,-0.4614786729,-0.3006640419
abx_mega__ery_dmso__2,-0.0509649879,0.0804674744,-0.4442046397,-0.8711782534,-1.1971011775
abx_mega__dmso-2__2,-1.7027974821,-0.2221077391,1.6604665733,1.6330404249,1.5801977473000002
abx_mega__van_dmso__2,-4.1597837171,0.6605546913,-2.8866129079,-1.4325930877,-0.884127384
abx_mega__h2o-1b__1,0.8750504910000001,0.030807355300000002,0.1121126951,0.049925419000000006,-0.452432223
abx_mega__ery_h2o__1,-1.4113812826,0.1635488437,-1.3592190282,-0.8530769732,-1.3563246039
abx_mega__bacit_h2o__1,-5.7766209084,-0.4774994905,-1.8815967057,0.06588176800000001,-0.6817547788
abx_mega__chl_h2o__2,-1.9234308863,0.0987552064,-0.9977422491000001,-1.1962969357,-1.3195528967999999
abx_mega__str_h2o__2,2.4385836087,0.2741965069,1.3722601148,1.1805175986,1.3047365667
abx_mega__rfp_ethanol__2,3.2053556108,0.12295077100000001,-0.8042864593,0.0344397316,0.0825550003
abx_mega__polmyx_h2o__2,-2.6052442885,-0.3737381984,-0.591981803,0.0497336679,-0.2047876144
abx_mega__tric_h2o__1,-4.3013443101,1.3424886167,-1.4512340212,0.4801215364,0.6570030657
abx_mega__cip_naoh__2,2.5423480457,0.09932130680000001,0.5392638791000001,0.1248055101,-0.0042746708
abx_mega__novo_h2o__3,0.5220319397000001,0.0559133562,-1.2286951364,-0.3918043912,-1.6268601596
abx_mega__bacit_dmso__1,0.5502984291,-0.2242105774,-0.0167420346,0.0971589638,-0.2149626757
abx_mega__gen_h2o__1,-4.0991699443,0.41129122560000003,0.9823240588000001,0.3781390592,-0.0023401669
abx_mega__bacit_dmso__2,-0.43246934800000003,-0.2049744387,-0.2884583012,-0.0185690991,-0.1358000564
abx_mega__chl_dmso__1,-3.3056520061,0.1866328231,-0.8395773575000001,-0.2968713899,-1.2077453185
abx_mega__bacit_h2o__2,-2.5814299895,-0.8589924069,-0.19910888300000001,-0.2798995233,-0.4745572525
abx_mega__lvx_dmso__1,3.3016116,-0.18501779240000002,0.6122966546,0.2366626578,0.7236428398
abx_mega__bacit_h2o__3,-5.3817302726000005,-0.3986390476,-1.654106842,0.1175635035,-0.4942506949
abx_mega__nor_naoh__2,1.8581017443,-0.11461450370000001,0.3306116255,0.0778313483,-0.1796711266
abx_mega__amyc-d_dmso__2,-0.5836708229,0.1534325597,-0.0283969251,-0.482735487,-0.23408638040000002
abx_mega__polmyx_h2o__3,2.7043899457,0.4256416268,2.1348953811,1.1987243344,1.4636209179000002
abx_mega__naoh-6__1,-0.28195830320000004,0.1918842788,0.5157457237,0.3867353197,-0.0738028359
abx_mega__cst_h2o__2,-0.1613861124,0.2575678173,0.28283215700000003,-0.0592366311,-0.2211989576
abx_mega__h2o-1b__2,1.271031888,0.7809611414000001,0.4867128788,0.361309818,-0.32526084780000003
abx_mega__rfp_h2o__1,-1.9692604821000002,-1.0905972262999999,0.1090664479,0.1986005924,0.9832435012
abx_mega__tet_h2o__1,-3.5169995842,0.0295461953,-1.4664602911,-1.1852549083,-1.741102497
abx_mega__flavo_dmso__1,0.7734695615,-0.9098451584,0.2511355632,0.31348030800000004,0.3338762417
abx_mega__zeocin_h2o__1,-0.18630252790000001,0.11093211330000001,-0.8636359804,0.1895157472,0.356397116
abx_mega__nor_naoh__3,1.9831657833,-0.2660034833,0.403211896,0.0003915057,-0.2272100971
abx_mega__rach_dmso__2,6.2859088066,0.1360391327,1.3362461241,0.7509322677,1.7463769081
abx_mega__thio_dmso__2,-4.3520345246,0.3253789217,-0.8136937075,-1.2288856103999999,-0.3890854292
abx_mega__amyc-d_dmso__3,-2.5804740412,0.33467356740000004,-0.6085883938000001,-2.0587907643,-1.6884538489
abx_mega__rif_dmso__2,-0.112412673,-0.7654036895,0.7272399660000001,0.5754528234,0.6145146939
abx_mega__amyc-d_dmso__4,-1.7195728267,0.0720316185,-0.6117482557,-0.5423701563000001,-0.335661769
abx_mega__teix_dmso__3,0.5134413368,-0.1127364899,-0.010973003700000001,-0.0655542478,-0.1154299023
abx_mega__valin_dmso__1,-2.4059023516,-0.1452747475,-0.39776555220000004,-0.43426283600000004,0.0956653423
abx_mega__teix_dmso__4,-0.2924702637,-0.2103049645,0.14287723530000002,0.27130681500000003,0.23881420290000002
abx_mega__ethanol-10__1,-2.079938448,0.6194313426,-1.756527871,0.40267153240000003,0.6441814068
abx_mega__inh_h2o__1,-0.7999979741000001,-0.0340580552,-2.2437714316,0.0766455533,0.44933268930000003
abx_mega__rif_dmso__3,-0.2997105108,-1.5589165824,0.3784216172,0.5938319508000001,1.197837956
abx_mega__van_dmso__3,-2.2849338759,0.2389667466,-1.8702746605,-0.6893900788,-0.7705163065
abx_mega__doxo_dmso__1,0.6508870675,-0.1301723133,0.0342369982,0.3216071352,0.42316666420000004
abx_mega__tmp_dmso__1,2.2780152103,0.0567992999,0.8454476550000001,0.1661161452,0.37644281350000003
abx_mega__ethanol-10__2,-1.4683913188,0.4463184544,-2.0639552276,0.1536875017,0.3676884166
abx_mega__tmp_dmso__2,2.4317199792,-0.011770757000000001,0.8520936231,0.1318068886,0.3141558765
abx_mega__amyc-d_dmso__5,-2.841616353,0.4703427457,-0.9373713607,-2.0873112251,-0.7713514634
abx_mega__novo_h2o__4,0.6838382079,0.7891519738,-1.5472563662,0.13625533880000001,-1.9558634060000002
abx_mega__cro_h2o__2,6.5081585245,0.0823465979,1.616343955,0.1035761797,1.2346799578
abx_mega__cro_h2o__3,5.6881185774,-0.21446519260000002,1.1820121954,0.0686106756,0.5304175659
abx_mega__gen_h2o__2,-3.280125629,0.5545946817,1.3457802374,0.7751869361,-0.48062680010000003
abx_mega__phos_h2o__4,3.7124554092,-0.1556899832,1.5659730628,1.2666739765,1.4968619098
abx_mega__metro_dmso__2,-1.2725745113,0.40866825960000003,0.0443433892,0.8183508658,-0.2002604006
abx_mega__ery_h2o__2,-0.5469197418,-0.0307498051,-2.0256403104,-0.602350214,-1.8801459853
abx_mega__sacet_h2o__1,-4.67516766,1.8984960352,-0.5481165743,1.8751403472,1.5862913974000001
abx_mega__nal_naoh__5,2.6413371482,0.11935505780000001,0.6809798983,0.1431744405,-0.2314427329
abx_mega__bacit_h2o__4,-3.960927494,-0.7716038602,-0.2743438615,-0.25559654600000004,-0.6522742559
abx_mega__cip_naoh__3,1.8155546906,-0.1062377801,-0.0998408758,0.32443566830000004,-0.49739226270000003
abx_mega__ethanol-8__1,-0.7943196337,-0.0429042057,-0.8504672621,0.3540685267,0.6304378737
abx_mega__h2o-8a__1,-1.0737663862,-0.1697118587,-0.8743262877,0.3335097184,-0.1934353014
abx_mega__ery_h2o__3,-0.1722103376,-0.046749594000000005,-1.3453406793,-0.7729734864000001,-1.5593456345
abx_mega__flavo_dmso__2,6.607488764,0.060263538500000005,1.3514598255,0.3623249183,1.3837328354
abx_mega__rif_dmso__4,0.22648089100000002,-1.4686879149,0.6363716664,0.4264630231,1.0818833664
abx_mega__novo_h2o__5,2.9808796571,0.2258676651,-0.6375483486,-0.5119814499,-1.3957788496
abx_mega__teix_dmso__5,-2.0072972026,-0.0180107938,-0.9474787803,0.3829448741,0.2339403894
abx_mega__naoh-2__1,1.6671008778,0.12440957970000001,1.7444441518,1.2563867105,1.5570266128
abx_mega__novo_h2o__6,0.9339649126,0.7205527484,-1.2525003559,-0.40610684150000004,-2.0014040988
abx_mega__ctx_h2o__3,6.9287832668,-0.064859922,1.3937737517,0.2070871461,0.6053981366
abx_mega__rach_dmso__3,7.3133832728,-0.0946227506,1.8253522029,0.8095988900000001,1.604092458
abx_mega__valin_dmso__2,-0.18431178180000002,-0.1504039911,0.2835129919,-0.3638890656,0.6228761494
abx_mega__amyc-d_dmso__6,-5.8831143948,1.0932260792,-0.4959758662,-1.7587812473,-0.8243217897
abx_mega__dox_dmso__2,0.0742566035,-0.3495048284,-0.1777783101,-0.0236915871,-0.6210031891000001
abx_mega__teix_dmso__6,-1.3824127809,-0.19216870800000002,-1.2380148159,0.2270913317,0.46369876390000003
