,0
name,Spβ-2 – SP-β Prophage 2
TF,CsoR + SigA + SigK + SigE
Regulator,"<a href=""http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/CsoR"" target=""_blank"">CsoR</a> and <a href=""http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/SigA"" target=""_blank"">SigA</a> and <a href=""http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/SigK"" target=""_blank"">SigK</a> and <a href=""http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/SigE"" target=""_blank"">SigE</a>"
Function,"Temperature-responsive SP-beta prophage. Prophage, unknown, and putative metabolic genes. Response to mitomycin."
Category,Mobile Genes
has_venn,True
scatter,4
exp_var,0.0
precision,0.0939597315
recall,0.9333333333
