,A,Fis,Crp,RpoS,ihfB
R2,,0.0413888536283451,0.024519681486031453,0.019600219330928148,0.00627458434891659
xmin,,-4.8936592304,-9.852476477,-8.919357295,-3.9178110457
xmid,,,-1.4589622048816921,-2.4799515575066806,
xmax,,4.361795663,2.5388323397,4.1241387708,3.3245249795
ystart,,2.4864938281404125,1.0278480601933409,-1.4049362329043535,-1.4391549226299223
yend,,-2.6243765210463588,-2.133594460763331,1.7234851396543462,1.0241034481829194
SRX1125282,-0.11195346390000001,0.1452799267,0.0344951212,0.12389400360000001,-0.1131958483
SRX1125283,-1.5049986613000002,0.032152022100000004,0.1435731223,0.0917269352,0.0772468121
SRX1125284,-1.8886769518,-0.11344229280000001,0.2534372822,0.2668871882,0.0671979825
SRX1125285,-0.8377522212,-0.6030691047,0.283920339,0.6346371772,-0.031233225400000002
SRX1125286,2.4313165465,-0.7040569003,0.3175329239,0.7311205703,0.0201842575
SRX1125287,1.4507212951000001,-0.3000441569,0.17602055360000002,0.047843636,-0.1696861744
SRX1125288,-0.9153197135000001,-0.1565872788,0.005256366,-0.011411859,0.030994294500000002
SRX1125289,-1.3937936867,0.0544366627,0.2819816342,0.1487334191,0.0539088152
SRX1125290,-1.3801008563,-0.2428967066,0.2801678667,0.5719214457,0.1097352022
SRX1125291,-1.0746886983,-0.7952871017,0.4762089513,0.7703039475,0.2340397233
SRX1125292,1.4338831006000001,-1.2037749275,0.5370175003000001,0.9491057834000001,0.2579735379
SRX1125293,1.253368474,-0.8523048087,0.5086233319,0.7949646441,0.5504911606
SRX1125294,1.0272731775,0.011307352100000001,-0.039751487200000005,-0.1124821446,0.0822015539
SRX1125295,-2.2076238322,0.29622605760000004,0.2905320638,0.0485519624,0.4189166854
SRX1125296,-2.4205948095,0.0283022157,0.1859933018,0.2451175693,0.2529822276
SRX1125297,-0.7033799892,-0.43191519440000004,0.3699621097,0.5595453177,0.39341672120000004
SRX1125298,1.3227665383,-1.1986122972,0.5483756585,1.0364768899,0.2673414086
SRX1125299,1.2971271258,-1.2380068344,0.50143841,0.7744984592,0.42329341260000003
SRX5694250,-4.2639986008,-0.1179993382,-0.4516798918,-0.6575883396000001,2.297485246
SRX5694251,-3.4847510183,0.7771395971,-1.8893970692000002,-0.41439528130000003,-1.5657193052
SRX5694252,-2.5345321420999998,0.1724641512,-0.1701238306,-1.5267586985000001,1.171465281
SRX5694253,0.8859879959,-0.4379147116,0.1340371706,0.013532579400000001,0.294111116
SRX5694254,2.8423806781,1.7759768752,-0.8477189713000001,-0.4507050045,0.9331627303000001
SRX5694255,-0.6811364317,0.1268043401,0.1307715067,-1.3699185348,-1.5948301920999999
SRX5694256,-2.3236038736999998,0.08683377910000001,-0.2340068764,0.0290375594,-0.6969566792
SRX5694257,-1.7764442838,0.147434414,-0.33700626310000004,-0.18024768900000002,-0.24371025970000001
SRX5694258,-0.5954038882,-0.7709696535,-0.2857852433,-0.34416743510000003,0.3294536628
SRX5694259,-2.6596888039,1.8644089753,-2.9247054987,-0.4766743304,-1.0253066066
SRX5694260,0.632849051,-0.3006031253,0.0899715865,0.2482267076,-1.1929652783
SRX5694261,-2.500901117,0.5347225265000001,-1.6070723407,0.022944085000000003,0.8805616572
SRX5694262,-3.2988398697,-0.315531422,-0.5390842036,-1.1664088354,1.9132335694
