,A,GatR,Crp,ArcA
R2,,0.45004192803592613,0.11559775378585713,0.009792798485741216
xmin,,-5.0576520299,-9.852476477,-3.6017898952
xmid,,-2.7768630222354873,-7.077835785379643,
xmax,,4.6339986229,2.5388323397,3.7109145168
ystart,,-9.109916994253737,-16.31987330211111,-3.712631722031848
yend,,14.481098088780659,4.4219101750875485,1.2497987630307898
aat__00m_00s__1,-0.1801037459,0.0733130416,0.0344951212,0.1536251284
aat__00m_30s__1,0.6300713358000001,-0.230750486,0.1435731223,-0.1085541986
aat__01m_00s__1,0.11874676690000001,-0.3785264016,0.2534372822,-0.269085791
aat__02m_00s__1,-0.1291547068,-0.0499334435,0.283920339,0.0131235692
aat__05m_00s__1,-5.4379585771,-1.1398910136,0.3175329239,0.26443002660000003
aat__10m_00s__1,-8.8914731361,-1.1986270089,0.17602055360000002,-0.1415413156
aat__00m_00s__2,1.0155112815,0.39282786140000003,0.005256366,-0.1227035083
aat__00m_30s__2,0.4507018725,0.077486073,0.2819816342,-0.4182880135
aat__01m_00s__2,0.0080886967,0.209654431,0.2801678667,-0.1456535487
aat__02m_00s__2,-1.3294480496,-0.2121590407,0.4762089513,0.0864050615
aat__05m_00s__2,-6.7183837434,-1.3129212613,0.5370175003000001,0.326354303
aat__10m_00s__2,-10.0281668954,-1.0365390305,0.5086233319,0.2809830862
aat__00m_00s__3,-0.8354075357,-0.4661409031,-0.039751487200000005,-0.0309216201
aat__00m_30s__3,-0.6997156132,0.3014372092,0.2905320638,-0.0305290823
aat__01m_00s__3,0.07504775300000001,-0.030934230400000002,0.1859933018,-0.30555163100000005
aat__02m_00s__3,-1.2573123191,0.0684162153,0.3699621097,0.0006214416
aat__05m_00s__3,-5.9458755259,-0.8070415400000001,0.5483756585,0.6068628834
aat__10m_00s__3,-8.6193180275,-0.9125736918,0.50143841,0.5516321501
abx_mega__dmso-2__1,-0.9962482834,0.5898659557,-0.4516798918,0.49107579710000004
abx_mega__ery_dmso__1,-15.2387256683,-0.8328287178,-1.8893970692000002,-0.9538123343
abx_mega__nal_naoh__1,-3.0166569819,-0.6181579730000001,-0.1701238306,0.3631602573
abx_mega__dmso-5__1,-0.5866889829,-0.4657658019,0.1340371706,-0.17749356630000002
abx_mega__rif_dmso__1,-3.5903998379,-0.7154365084000001,-0.8477189713000001,-0.2571254471
abx_mega__novo_h2o__1,-14.2745406479,-3.0765119723,0.1307715067,-0.5795873771
abx_mega__rach_dmso__1,-4.9048458947,-1.3123315474,-0.2340068764,-0.6394832572
abx_mega__metro_dmso__1,-2.0173715698,-0.1756872702,-0.33700626310000004,-0.5994008193
abx_mega__dmso-6__1,-0.5895301476,-0.2126402997,-0.2857852433,-0.8093510237
abx_mega__chl_h2o__1,-17.4898431586,-1.5356625871,-2.9247054987,-1.223874242
abx_mega__cst_h2o__1,2.1974874381,0.5339379398,0.0899715865,-0.20132201460000002
abx_mega__tec_h2o__1,-12.229206022,-2.1454049677,-1.6070723407,-0.38609345780000004
abx_mega__str_h2o__1,-3.1786056852,0.81956452,-0.5390842036,1.2331627263
abx_mega__ctx_h2o__1,-0.350790908,0.060958015100000006,-0.0980165268,-0.4496263185
abx_mega__nal_naoh__2,-3.1880188779,-0.8003959275,0.2016373309,-0.5000365137
abx_mega__phos_h2o__1,-0.1515399413,-0.2360054742,-0.2490351859,-0.9224545732
abx_mega__dmso-5__2,-0.9156618083,-0.3352078976,0.0411821817,-0.31040230480000003
abx_mega__polmyx_h2o__1,-2.2174531306,-0.6040879293,0.0231238538,-0.1547312355
abx_mega__h2o-8b__1,1.374843612,0.5252307594,0.0476350313,-0.7734435138
abx_mega__h2o-6__1,0.17281318210000002,0.25016942810000004,0.24713669740000002,-0.2452190206
abx_mega__thio_dmso__1,-9.6553908582,-2.0940780078,-1.5465123927,-0.6604458461
abx_mega__phos_h2o__2,2.2159453561,0.5026383081,0.2066153554,-0.36638296740000004
abx_mega__ctx_h2o__2,-3.261950122,-1.6630737549,-0.5157335737000001,-0.6634625427
abx_mega__lzd_dmso__1,-7.9415686062,-1.2892299868000001,-1.8223907651,-0.7503258015000001
abx_mega__naoh-9__1,0.6286730389,0.4329924053,0.36042412560000003,-0.1047583445
abx_mega__dox_dmso__1,-3.7043624426,-0.4410243976,-1.3002511837,-1.0523870943
abx_mega__phos_ethanol__1,0.7160532767000001,0.7177225062,0.3379205155,-0.3908090648
abx_mega__teix_dmso__1,-4.6918149292999995,-2.5924550721,-0.6834405493,-0.6588512144
abx_mega__dmso-10__1,1.6618003050999999,0.5456994637,0.1656640608,-0.796986874
abx_mega__van_dmso__1,-10.9069441018,-1.9991537136000002,-0.9934080376000001,0.6215221205
