,A,PlaR,Crp,ihfB
R2,,0.02950474606311526,0.007901178158044475,0.0
xmin,,-6.5268699980000005,-9.852476477,-2.385835026
xmid,,,,
xmax,,0.9999572760000001,1.6003325529999999,1.646649845
ystart,,3.0181550526091003,-0.6406002469456678,0.8321531677603681
yend,,0.1158831804412922,1.0361564164520713,0.8321531677603681
ecoli_00001,-0.4820520901,-0.060424186000000005,0.012478646000000001,0.08337238500000001
ecoli_00002,0.4820520901,0.060424186000000005,-0.012478646000000001,-0.08337238500000001
ecoli_00003,0.1841011498,0.012336588,0.077574131,0.7158603250000001
ecoli_00004,0.2963599079,-0.155014743,-0.090682171,0.8566654450000001
ecoli_00005,0.5522019813,-0.080707334,-0.030513673,-0.076995065
ecoli_00006,0.1871533901,-0.031910115,0.05819072,-0.086717445
ecoli_00007,0.26766185470000003,-0.161075716,-0.105981984,0.689803445
ecoli_00008,0.0152349274,-0.140363397,-0.22346684100000003,0.621869415
ecoli_00009,0.0699996348,0.283335124,0.436429913,0.365818715
ecoli_00010,0.4329179007,0.209800804,0.367563393,0.335810425
ecoli_00011,-0.130674951,0.055369515,0.345522573,0.284257435
ecoli_00012,-0.3410348167,0.11208074100000001,0.343136463,0.301657345
ecoli_00014,-0.6678519074,0.103919575,0.33938771300000004,0.036205125000000005
ecoli_00015,-0.188171933,0.078059505,0.383863793,0.19517709500000002
ecoli_00016,0.1953268872,0.046623695,0.33986178300000003,0.183183425
ecoli_00017,-0.0716594504,-0.017943351,0.43240872300000005,0.33218594500000004
ecoli_00018,0.2294734215,0.22173497800000003,0.482436193,0.239560985
ecoli_00019,0.739581051,-0.240337927,0.17662370300000002,0.946614625
ecoli_00020,0.7689564633,-0.161903669,0.24038529300000003,0.9488081850000001
ecoli_00021,0.1392954124,0.30301340200000004,0.513155013,0.874908725
ecoli_00022,0.3748663258,0.432786483,0.536337303,0.9672342150000001
ecoli_00023,0.3188721493,-0.08464089300000001,0.334672533,1.071325345
ecoli_00024,0.8163010052,-0.062965994,0.387059873,1.168231695
ecoli_00025,-0.3773230287,0.020981137,0.513462963,1.135143795
ecoli_00026,0.4287978626,-0.14040053300000002,0.5104807530000001,1.020138575
ecoli_00027,0.2438684623,0.312626689,-0.07279683,0.172544145
ecoli_00028,-0.8348725411,0.170393017,-0.093243951,0.213025175
ecoli_00029,0.1952363735,-0.098665892,-0.043119613,0.457530655
