,A,Fnr,NarP,ModE,NarL
R2,,0.26771588031545024,0.08470351765175821,0.02568155277423234,0.0005884823008905915
xmin,,-7.8525940196,-3.4636144832999998,-3.672757041,-3.0560450505
xmid,,-1.5672805680935709,-1.498517960893142,0.17581606172908448,0.18428883581784092
xmax,,4.4171410107,2.9757521876,2.0048202441,2.4694155805999998
ystart,,5.501594409158806,-1.8485584853043031,1.225361950781218,0.8783649610391384
yend,,-14.576842287426501,6.25360791701734,-4.23298232517689,2.0957727548410627
aat__00m_00s__1,-0.2823965653,-0.0825740115,-0.025949787000000002,-0.19527244740000002,0.0834143878
aat__00m_30s__1,-0.4408071984,0.16485310350000001,-0.0137519644,-0.0190881024,0.0504933555
aat__01m_00s__1,-0.5322870757,0.7752711503,0.0609692344,-0.0787011807,0.031696480900000004
aat__02m_00s__1,-0.8758945759000001,0.9066270852,-0.10841500300000001,-0.19217444620000002,-0.0029696078000000002
aat__05m_00s__1,-3.1606378288,0.95171602,-0.2022767549,-0.0929544295,-0.3118176763
aat__10m_00s__1,-3.1142581483,1.0192587317,0.122656549,-0.4000322927,-1.1250431231
aat__00m_00s__2,-0.9740925089,0.1234264677,-0.25349993590000003,0.1314170619,0.0253800388
aat__00m_30s__2,-1.0820268426,0.4334180231,0.11107518100000001,0.1930681599,-0.0159687598
aat__01m_00s__2,-0.7331223937,0.7979562918,-0.056693302200000004,-0.1958810648,0.11729304230000001
aat__02m_00s__2,-1.4480783663,0.8964971719,-0.3977770989,0.007180845700000001,-0.0645860458
aat__05m_00s__2,-3.2562805481,0.9047534472000001,-0.2185532135,-0.1378790664,-0.4360385312
aat__10m_00s__2,-3.3356220816,0.9185125141,-0.0581421639,-0.14520770700000002,-0.7155510694
aat__00m_00s__3,1.2564890741,-0.040852456200000005,0.27944972300000004,0.0638553855,-0.10879442660000001
aat__00m_30s__3,1.2714611951,0.2208704434,0.181212162,0.10767132800000001,0.004012204
aat__01m_00s__3,1.1021701633,0.7920547098,0.0720095186,-0.0383008545,0.1317350897
aat__02m_00s__3,0.6606716760000001,0.8818752216,-0.12842398730000001,-0.17549691720000002,0.0470774695
aat__05m_00s__3,-2.7003548003,0.9825066807,-0.21288096950000002,-0.3846006793,-0.5255995358000001
aat__10m_00s__3,-3.6752399987,0.9444446514,-0.1782494413,-0.1137904571,-0.9168248342
abx_mega__dmso-2__1,-2.0034929822,0.0403637158,-0.4338146809,1.6407138802999999,1.9154446272
abx_mega__ery_dmso__1,-0.1408432744,0.5459244040000001,-0.1175039434,-0.1834307305,-0.7280519322
abx_mega__nal_naoh__1,-0.660752962,-0.6791990309,-1.0752569035,1.0368093005,1.1947183288
abx_mega__dmso-5__1,-0.0249447912,0.0078028844000000005,-0.1711096228,0.4466123863,0.1780909309
abx_mega__rif_dmso__1,-0.3206738243,-1.3129271236,0.48338741570000004,-1.1064302953,1.2955909793
abx_mega__novo_h2o__1,-3.1559817,0.20689053170000002,-1.8476087346,-1.3154789426,-1.6319055235
abx_mega__rach_dmso__1,7.6445102213,-0.045048951000000004,-0.4523160888,0.3189045927,0.4734941154
abx_mega__metro_dmso__1,-3.9789434423000003,0.4656249649,-0.36014899040000004,0.7107483822,-0.1664938681
abx_mega__dmso-6__1,-0.4031525224,-0.3784852643,-0.4676117134,0.8212449496,0.5350788069
abx_mega__chl_h2o__1,-1.9348844376,0.3019332691,0.4629083968,-0.44212642150000003,-1.1516025581
abx_mega__cst_h2o__1,1.8732395914,0.0320312785,0.0851830803,0.5174501937,0.2589008747
abx_mega__tec_h2o__1,1.2622239979,-2.6112045671,-0.8365717475000001,1.205025732,0.6985329095
abx_mega__str_h2o__1,3.3821944976,0.2482154852,0.5061302001,1.3830830675,1.5091314717
abx_mega__ctx_h2o__1,1.6414244685,0.0230880885,0.3847222361,0.0669395243,0.0599282165
abx_mega__nal_naoh__2,0.7816588114,0.3075812793,-0.06551305810000001,0.4143947623,-0.3923176547
abx_mega__phos_h2o__1,2.6636328922,-0.7038356709,0.2361240816,0.0487458556,-0.4271510985
abx_mega__dmso-5__2,0.5021162765,-0.2244639849,-0.2733503608,0.6170879565,0.2821523801
abx_mega__polmyx_h2o__1,-0.030245803,0.32801548280000004,0.3720560761,0.5124365186000001,0.07094828710000001
abx_mega__h2o-8b__1,0.5644439112,-0.0363903054,0.1109293113,0.4334017364,0.19399510790000002
abx_mega__h2o-6__1,-0.3432125522,0.1539794799,0.0975458241,0.6249738811000001,0.0642121101
abx_mega__thio_dmso__1,7.1269756531,-0.315089026,-0.1415011829,-0.21809178610000002,-0.07041621590000001
abx_mega__phos_h2o__2,0.8278894331000001,-0.19593564700000002,0.2943684521,0.3104199233,0.2387249998
