,-0.10712435307692307,-0.08927029423076922,-0.07141623538461538,-0.05356217653846153,-0.03570811769230768,-0.017854058846153834,1.3877787807814457e-17,0.01785405884615386,0.03570811769230771,0.053562176538461556,0.0714162353846154,0.08927029423076925,0.1071243530769231,0.12497841192307695,0.14283247076923078,0.1606865296153846,0.17854058846153847,0.19639464730769235,0.21424870615384617,0.232102765
thresh,-0.1160513825,0.1160513825,11,,,,,,,,,,,,,,,,,
unreg,0,0,0,9,29,541,3113,489,16,0,0,0,0,0,0,0,0,0,0,0
RemA,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
SinR,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
AbrB,0,0,0,0,1,23,101,83,10,0,0,0,0,0,0,0,0,0,0,0
SigA,0,0,0,1,27,203,891,135,11,0,0,1,0,0,0,0,0,0,0,0
RemA and SigA,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
SinR and AbrB,0,0,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0
SinR and SigA,0,0,0,0,0,3,10,1,1,0,0,0,0,0,0,0,0,0,0,0
AbrB and SigA,0,0,0,0,3,20,67,18,8,1,0,0,0,0,0,0,0,0,0,0
"SinR, AbrB, and SigA",0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0
"RemA, SinR, AbrB, and SigA",0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,0,2,1,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RemA_genes,[],[],[],[],[],[],['opuCC' 'opuCA' 'opuCB' 'opuCD' 'S1298'],[],[],[],[],[],[],[],[],[],[],[],[],[]
SinR_genes,[],[],[],[],[],[],['ywbD' 'lytF' 'mstX' 'epr' 'yugO'],['yvgN'],[],[],[],[],[],[],[],[],[],[],[],[]
