,A,NtrC,RpoS,ArgR,RpoN
R2,,0.1587478026459619,0.12357245675141082,0.03885936669014267,0.028636549076151985
xmin,,-5.0016790975,-8.919357295,-3.7793584976,-2.3873792415
xmid,,-1.0399081613246592,-2.4691916869269543,-0.29369481937323016,-0.8635346101348647
xmax,,3.6263915463,4.1241387708,2.4028450293,1.8751403472
ystart,,-1.723143736198266,-4.4165087884198835,0.775894818040162,-1.4557441378502518
yend,,8.824641031106212,6.288258143519923,-5.121580282871352,3.228236093102363
aat__00m_00s__1,0.901951754,0.0592910135,0.12389400360000001,-0.0583787237,-0.1868415971
aat__00m_30s__1,-0.085336725,-0.424825732,0.0917269352,-0.0131581787,-0.20162633530000001
aat__01m_00s__1,-0.2166245953,-0.0994417377,0.2668871882,-0.0875909674,-0.1942665755
aat__02m_00s__1,-0.0877626923,-0.1519072109,0.6346371772,-0.23768591020000002,-0.1859665862
aat__05m_00s__1,2.9592636792,-0.3824087766,0.7311205703,-0.1886116535,-0.1681106608
aat__10m_00s__1,4.2963904176,-0.448447001,0.047843636,-0.0747215526,-0.3706350145
aat__00m_00s__2,-0.4774586196,-0.1184629314,-0.011411859,-0.06323962030000001,0.3031607257
aat__00m_30s__2,0.0052158001,0.1590714269,0.1487334191,-0.1254944322,0.039643016600000004
aat__01m_00s__2,0.3213081203,0.1223935872,0.5719214457,-0.1527282579,-0.0013643723
aat__02m_00s__2,0.3437624279,0.9967064014,0.7703039475,-0.14131584390000002,-0.0414927971
aat__05m_00s__2,4.1929936578,-0.7361129937,0.9491057834000001,-0.4905410738,-0.0746450885
aat__10m_00s__2,5.1676018453,-0.6405521565,0.7949646441,-0.5168471425,-0.23586419190000002
aat__00m_00s__3,-0.4244931344,0.0591719178,-0.1124821446,0.121618344,-0.1163191286
aat__00m_30s__3,0.2464887596,-0.2093034258,0.0485519624,0.2081089964,-0.0736221406
aat__01m_00s__3,-0.3402868703,-0.2268632747,0.2451175693,-0.052939910300000004,-0.17730413120000002
aat__02m_00s__3,-0.3664412789,0.0409081286,0.5595453177,0.0271866251,0.020768331
aat__05m_00s__3,3.4276430154,-0.6022708777,1.0364768899,-0.1351088164,-0.0944720948
aat__10m_00s__3,5.1992034371,-0.6028329505000001,0.7744984592,-0.5500112825,-0.2044310802
abx_mega__dmso-2__1,-2.3434690314,-0.1115697667,-0.6575883396000001,1.5976385374,1.436026237
abx_mega__ery_dmso__1,-1.8858917424000001,-1.7993250065000002,-0.41439528130000003,0.0297902829,-0.4394529035
abx_mega__nal_naoh__1,2.979530977,0.8448972578,-1.5267586985000001,1.1107730127,0.8772278743
