,regulator,gene_id,effect
0,PerR,BSU_08820,repression
1,PerR,BSU_32990,repression
2,PerR,BSU_03510,activation
3,PerR,BSU_11500,repression
4,PerR,BSU_03520,activation
5,PerR,BSU_28120,repression
6,PerR,BSU_28170,repression
7,PerR,BSU_03480,activation
8,PerR,BSU_17370,transcription repression
9,PerR,BSU_03490,activation
10,PerR,BSU_23520,repression
11,PerR,BSU_03500,activation
12,PerR,BSU_13850,repression
13,PerR,BSU_17380,transcription repression
14,PerR,BSU_11490,repression
15,PerR,BSU_40100,repression
16,PerR,BSU_17390,transcription repression
17,PerR,BSU_08730,repression
18,PerR,BSU_40090,repression
19,PerR,BSU_17400,transcription repression
20,PerR,BSU_28150,repression
21,PerR,BSU_28160,repression
22,PerR,BSU_28140,repression
23,PerR,BSU_28130,repression
24,SpoVT,BSU_23410,activation
25,SpoVT,BSU_23380,activation
26,SpoVT,BSU_13380,repression
27,SpoVT,BSU_24230,activation
28,SpoVT,BSU_03720,repression
29,SpoVT,BSU_33060,repression
30,SpoVT,BSU_23930,repression
31,SpoVT,BSU_23430,activation
32,SpoVT,BSU_08660,repression
33,SpoVT,BSU_23401,activation
34,SpoVT,BSU_33050,repression
35,SpoVT,BSU_23440,activation
36,SpoVT,BSU_09750,activation
37,SpoVT,BSU_23390,activation
38,SpoVT,BSU_25540,repression
39,SpoVT,BSU_13410,activation
40,SpoVT,BSU_03710,repression
41,SpoVT,BSU_08650,repression
42,SpoVT,BSU_02080,repression
43,SpoVT,BSU_13400,activation
44,SpoVT,BSU_23420,activation
45,SpoVT,BSU_23402,activation
46,SpoVT,BSU_16799,repression
47,SpoVT,BSU_16790,repression
48,SpoVT,BSU_13470,activation
49,SpoVT,BSU_03700,repression
50,SpoVT,BSU_25530,repression
51,SpoVT,BSU_15440,activation
52,SpoVT,BSU_13390,repression
53,SpoVT,BSU_02070,repression
54,SpoVT,BSU_03930,repression
55,SpoVT,BSU_30840,activation
56,SpoVT,BSU_33070,repression
57,SpoVT,BSU_23940,repression
58,SpoVT,BSU_03920,repression
59,SpoVT,BSU_29570,activation
60,SigM,BSU_02910,sigma factor
61,SigM,BSU_11500,sigma factor
62,SigM,BSU_14480,sigma factor
63,SigM,BSU_00580,sigma factor
64,SigM,BSU_00900,sigma factor
65,SigM,BSU_38500,sigma factor
66,SigM,BSU_00720,sigma factor
67,SigM,BSU_00630,sigma factor
68,SigM,BSU_23370,sigma factor
69,SigM,BSU_18170,sigma factor
70,SigM,BSU_00680,sigma factor
71,SigM,BSU_28030,sigma factor
72,SigM,BSU_27180,sigma factor
73,SigM,BSU_38510,sigma factor
74,SigM,BSU_36380,sigma factor
75,SigM,BSU_38480,sigma factor
76,SigM,BSU_23830,sigma factor
77,SigM,BSU_04230,sigma factor
78,SigM,BSU_35650,sigma factor
79,SigM,BSU_00690,sigma factor
80,SigM,BSU_00700,sigma factor
81,SigM,BSU_00670,sigma factor
82,SigM,BSU_00890,sigma factor
83,SigM,BSU_27160,sigma factor
84,SigM,BSU_28000,sigma factor
85,SigM,BSU_00840,sigma factor
