,A,UhpA,Crp,YeiE,UvrY
R2,,0.09467960738757097,0.04304819021441275,0.016693160220669245,0.008021837648651386
xmin,,-5.931678431,-9.852476477,-5.6722767095,-5.5714946015999995
xmid,,,0.004719440462371129,0.3621553973539815,
xmax,,4.5122303885,2.5388323397,3.0522173338,1.6887823242
ystart,,3.754494527237154,0.7066545751205964,0.8800013422303176,2.2451624890178583
yend,,-1.3417747019463322,3.492751264856647,2.9475546486149513,0.543505012743744
aat__00m_00s__1,-0.3781270518,-0.12320106310000001,0.0344951212,0.3839269957,-0.1494491417
aat__00m_30s__1,0.38208325,0.0089284644,0.1435731223,-0.0234607417,-0.3098802989
aat__01m_00s__1,0.39941943830000004,0.0851470841,0.2534372822,0.18199118590000002,-0.5325325043
aat__02m_00s__1,0.6703276049,-0.1506719293,0.283920339,-0.2382409474,-0.5321317543
aat__05m_00s__1,1.1186671018,0.1379005167,0.3175329239,-0.7394551161,-0.3600236215
aat__10m_00s__1,1.0094143188,0.15852123510000002,0.17602055360000002,-1.1337000163,-0.46169454320000003
aat__00m_00s__2,-0.7551407927,0.11434044800000001,0.005256366,0.12710394590000001,-0.010861840000000001
aat__00m_30s__2,-0.8688744661000001,0.5105595521,0.2819816342,0.1201597217,0.024910205300000002
aat__01m_00s__2,-0.1558912305,0.1516097543,0.2801678667,-0.10531348530000001,-0.4257608053
aat__02m_00s__2,0.8171514586,0.0119750576,0.4762089513,-0.30402224180000004,-0.37143808240000004
aat__05m_00s__2,1.3874661154,-0.051403088400000005,0.5370175003000001,-1.0748048819,-0.1859135379
aat__10m_00s__2,1.1553727394,-0.0169147579,0.5086233319,-0.3417169433,0.064746042
aat__00m_00s__3,1.1332678445,0.0088606151,-0.039751487200000005,-0.5110309416000001,0.1603109817
aat__00m_30s__3,0.5105037545000001,0.175122031,0.2905320638,0.4627737414,0.0123495184
aat__01m_00s__3,0.3336041648,0.1634689007,0.1859933018,-0.0269269263,-0.44788310740000004
aat__02m_00s__3,1.5681615884,-0.1058229152,0.3699621097,-0.12851282220000002,-0.459390703
aat__05m_00s__3,2.2326037878,-0.2741544804,0.5483756585,-0.765763151,-0.2306432967
aat__10m_00s__3,1.3245582267,-0.0236380783,0.50143841,-0.8023580526,-0.1588565904
abx_mega__dmso-2__1,-1.1382036682,-0.5024457842,-0.4516798918,-0.3100198898,0.4505122681
abx_mega__ery_dmso__1,2.271566542,0.33381545500000004,-1.8893970692000002,-1.1653666985,-0.5090144125
abx_mega__nal_naoh__1,-0.5774289453,-0.4311936175,-0.1701238306,-0.40946785290000004,-0.6147064779
abx_mega__dmso-5__1,0.6756222072,-0.0709601976,0.1340371706,-0.1848728306,-0.0793160566
abx_mega__rif_dmso__1,1.9322201438,-0.8794249657000001,-0.8477189713000001,-0.703078867,-0.42294603810000003
abx_mega__novo_h2o__1,0.3292045343,-2.7324727959,0.1307715067,-4.3555278323,-2.0987458874
abx_mega__rach_dmso__1,3.5003911434,-0.3235403988,-0.2340068764,-0.20037547890000001,-0.9612871841
abx_mega__metro_dmso__1,0.9533476185,0.1096311465,-0.33700626310000004,-0.4761997107,-0.3072948565
abx_mega__dmso-6__1,0.4061515759,-0.12012245070000001,-0.2857852433,-0.8788028988000001,0.20835177770000002
abx_mega__chl_h2o__1,0.9208581099,0.0648319673,-2.9247054987,-1.5049055527,-0.6169566025000001
abx_mega__cst_h2o__1,0.0743066976,-0.2456831123,0.0899715865,-0.030369998800000002,-0.2757570654
abx_mega__tec_h2o__1,3.3529987789,0.2744407278,-1.6070723407,-0.6483223763,-0.4647268202
abx_mega__str_h2o__1,-1.9999394649000002,-0.4471172009,-0.5390842036,-0.702455091,1.6887823242
abx_mega__ctx_h2o__1,-0.0570075478,-0.35640997220000004,-0.0980165268,-0.0469103105,-0.1946970277
abx_mega__nal_naoh__2,1.3518075615,0.38288927300000003,0.2016373309,0.3505324922,-0.4879762743
abx_mega__phos_h2o__1,-1.7068798088000001,-0.3719890406,-0.2490351859,0.0320054501,-0.038915401100000004
abx_mega__dmso-5__2,-0.4291143041,-0.1805824761,0.0411821817,-0.0936787523,-0.11711928660000001
abx_mega__polmyx_h2o__1,0.4635642522,0.200221643,0.0231238538,0.5319105548,-0.34195555380000003
abx_mega__h2o-8b__1,0.4674000769,0.0765446983,0.0476350313,-0.194939566,-0.2766475183
abx_mega__h2o-6__1,0.5652202844,0.0303905244,0.24713669740000002,0.5041864829,-0.108377864
abx_mega__thio_dmso__1,0.4268508619,-0.2177192664,-1.5465123927,-1.2544740768,-1.0892206191
abx_mega__phos_h2o__2,-0.6651681747,-0.2730007279,0.2066153554,0.1282028104,0.025478294800000002
abx_mega__ctx_h2o__2,-2.0216847966,0.4931608206,-0.5157335737000001,0.5790862491000001,-0.0522506411
abx_mega__lzd_dmso__1,0.6006239479000001,0.3301066706,-1.8223907651,-0.3299036967,-0.7747771974000001
abx_mega__naoh-9__1,-0.8088412070000001,0.6040923592,0.36042412560000003,0.4961688571,-0.38738483230000004
abx_mega__dox_dmso__1,2.6129405468,0.5037258741,-1.3002511837,-1.0765781166,-0.4874110392
abx_mega__phos_ethanol__1,0.9120340078,0.4995968899,0.3379205155,0.3276576208,0.1609707631
abx_mega__teix_dmso__1,1.3599551,-0.544623489,-0.6834405493,-1.0563130364,-0.43321186510000004
abx_mega__dmso-10__1,0.4682541686,0.5176532626,0.1656640608,0.0322881407,-0.030877130200000002
abx_mega__van_dmso__1,-2.4859352684,-0.9724753364000001,-0.9934080376000001,-2.2101505918,-1.943427059
abx_mega__ramo_h2o__1,0.7006864681,-0.17333148510000002,-0.3443110079,-0.0446048888,-0.5991006099
abx_mega__tec_h2o__2,1.2729991324,0.1676331493,-0.9407234058,-0.3977085399,-0.7328176152
abx_mega__h2o-7__1,-1.1420136447,0.014857676,-0.0040549861000000005,0.1258118462,0.0725058593
abx_mega__cro_h2o__1,-0.8857176602,0.3606427996,-0.1478341465,0.1272081649,-0.391731221
abx_mega__tric_ethanol__1,4.634894407,-0.28164014200000004,-0.1558928562,-0.035530125,0.09117780240000001
abx_mega__nor_naoh__1,1.4729436942,-0.0576703125,0.2764607147,0.1701570036,-0.6786290959
abx_mega__teix_dmso__2,0.7539845165,-0.1454251819,-0.14661147630000002,-0.008509611,-0.0527409209
abx_mega__nal_naoh__3,1.0910942005,0.2732336421,0.2201400917,0.29515640790000003,-0.48128994900000005
abx_mega__novo_h2o__2,-0.8720959381000001,-3.127385301,0.1874058842,-3.6535692287,-2.407008239
abx_mega__dmso-10__2,0.2000806446,0.5280244222,0.0513472187,-0.10333452100000001,-0.22930658
abx_mega__phos_h2o__3,0.5386523188,-0.1894605188,0.3866879371,0.3996760251,-0.0770521105
abx_mega__dmso-6__2,1.2149025836,-0.1771114405,-0.0602559214,-0.3903701275,0.1873221645
abx_mega__rfp_ethanol__1,-2.9565781403,0.0987050944,-1.4743546362,0.1266367195,-0.4445433751
abx_mega__dmso-5__3,-0.6378077373000001,0.2215435729,-0.13444608700000002,-0.23522972550000001,-0.20729178650000002
abx_mega__amyc-d_dmso__1,1.2270525901,0.28093649930000003,-1.621907484,-0.8630942569000001,-0.20694829420000002
abx_mega__sxt_dmso__1,-1.6118957733000001,0.3816081499,-0.0376343135,-0.311461368,0.6725417314000001
abx_mega__dmso-1__1,1.963541293,-0.2587883067,-0.0810478849,-0.2815508008,0.1159170399
abx_mega__pen_h2o__1,1.241089397,-1.31742851,0.1296583874,0.09693860500000001,-0.6122485263
abx_mega__dmso-10__3,1.1757944617,0.441316745,0.2017965224,0.0391907249,0.0926701105
abx_mega__nal_naoh__4,-0.1789136701,0.7636697188,0.1490464558,0.0414820868,-0.91658549
abx_mega__cip_naoh__1,0.1549498476,0.5415226203,0.2623448043,0.0285994037,-1.0666981854
abx_mega__pen_h2o__2,0.3175444457,-0.1705289157,-0.22631582460000002,0.1549425878,-0.4565087163
abx_mega__ery_dmso__2,1.5749349294,0.0948787925,-1.9945889461,-1.3361534554,-0.7870741422
abx_mega__dmso-2__2,1.3866101838,-0.0742058649,-0.303318389,-0.5510510464,1.0269841115
abx_mega__van_dmso__2,-1.7036692597,-0.9197526709,-0.9213934478,-2.1884080629,-1.4453400292
abx_mega__h2o-1b__1,-0.074512436,-0.030303677100000002,-0.5542551321,0.1244537371,-0.4045144953
abx_mega__ery_h2o__1,1.0851543625,0.208553008,-2.4371824129,-1.1118088992,-0.8200304753000001
abx_mega__bacit_h2o__1,0.9243312171,-0.6291719444,-0.6975730314,-0.5511763378,-0.9107551608000001
abx_mega__chl_h2o__2,1.4492571905,0.1840211757,-2.788252041,-1.4325111996,-0.7774082261
abx_mega__str_h2o__2,-0.7143011568000001,0.1411432605,-0.46271994780000003,-0.305036258,1.3346168905
abx_mega__rfp_ethanol__2,-1.0795143919,-0.3454430747,-1.0117169578,-0.3964429669,-0.0781683916
abx_mega__polmyx_h2o__2,1.3918094191,-0.4944602467,-0.1729404675,0.0890927629,-0.3856544919
abx_mega__tric_h2o__1,4.4456960383,0.46082941200000005,0.2138522692,0.6182334387,0.8371015145
abx_mega__cip_naoh__2,0.8154886051,0.0856672807,0.22403181360000002,0.0621246317,-0.5633721772
abx_mega__novo_h2o__3,-0.9846663836,-3.1818246593,-0.09237995040000001,-3.9428057077,-2.4536118893
abx_mega__bacit_dmso__1,0.4755172486,-0.2575315789,-0.38942819040000004,-0.22218077660000002,-0.9712855871
abx_mega__gen_h2o__1,-1.8849266816,-0.784965315,-1.1362642293,-0.5553958093,0.1033353703
abx_mega__bacit_dmso__2,0.3628524809,-0.1672608477,-0.41342659340000004,-0.6084957597,-0.8129874907
abx_mega__chl_dmso__1,-0.22851271780000001,0.059383865,-1.6036324816,-1.1516585033,-1.0822701187
abx_mega__bacit_h2o__2,3.1429803037,-1.1282323459999999,-0.5104274184,-0.5874353549,-0.8740031525
abx_mega__lvx_dmso__1,2.6083926473,0.0640417782,-0.1584196907,-0.6380385495,-0.8898869249
abx_mega__bacit_h2o__3,1.5549706790000002,0.16794711340000001,-0.6589226995,-0.6489454074000001,-0.6440139556000001
abx_mega__nor_naoh__2,0.8917753437,-0.14681903770000002,0.1764471632,0.1969293357,-0.41434479090000004
abx_mega__amyc-d_dmso__2,-0.17677017250000002,-0.43123867060000004,-0.5799739837,-0.49247020340000003,0.12169473060000001
abx_mega__polmyx_h2o__3,0.043068086000000005,0.8374105191000001,-0.6950204566,-0.6445056136,0.42813041970000004
