,A,CusR,HprR,CueR
R2,,0.5866719220023837,0.11995613233669666,0.004436596435295481
xmin,,-6.944846208,-5.2503658834,-3.260627732
xmid,,-4.6739971578840125,-1.9233447528588805,0.006252318479056892
xmax,,12.6218296613,6.0796045829,3.629331685
ystart,,-14.07791950290001,-4.339385289331044,-1.2179554422086627
yend,,35.916440675069104,9.06197953194316,-4.019084162085159
aat__00m_00s__1,1.6138465355,0.033770334400000004,-0.4383904353,-0.021709826800000002
aat__00m_30s__1,2.3731220501,0.2384656699,-0.5424872779000001,-0.22707536490000002
aat__01m_00s__1,-1.1677302647,-0.24091952490000001,-0.18991407640000002,-0.2045079348
aat__02m_00s__1,-1.8695523345,-0.3243816225,-0.40459434650000003,-0.36755391330000003
aat__05m_00s__1,0.6288698359,0.2054238045,0.1294009898,-0.5734088798
aat__10m_00s__1,3.0806022194000002,0.182358602,-0.1332131546,-0.9915062475
aat__00m_00s__2,-0.8572263042,0.0916556114,0.41544973290000003,-0.0741186871
aat__00m_30s__2,2.1577766354,0.044359754800000005,0.0526847238,-0.08886582180000001
aat__01m_00s__2,-0.9294664628,-0.4373688061,-0.1765954491,-0.282612582
aat__02m_00s__2,-1.1478918685,-0.2050637441,-0.132778969,-0.23433519330000002
aat__05m_00s__2,1.9054435021,0.299407407,-0.1743415906,-0.4873096371
aat__10m_00s__2,5.5272802577,1.1214261376,0.4991383673,-0.6029667843000001
aat__00m_00s__3,-0.7566202314,-0.1254259458,0.022940702400000002,0.09582851390000001
aat__00m_30s__3,1.7979824343000002,0.2769271776,0.1662482365,0.12347774930000001
aat__01m_00s__3,-1.2537286212,0.0833107038,-0.2925390905,-0.21541008550000001
aat__02m_00s__3,-1.2358615167,-0.4798959996,0.1784499158,-0.0798264105
aat__05m_00s__3,1.8177192639,0.3971817769,0.2106059198,-0.49366860560000003
aat__10m_00s__3,5.4140662566,0.8306986590000001,0.1855609004,-0.324455716
abx_mega__dmso-2__1,0.4835387692,0.9082093105,0.08826574770000001,0.7306802789
abx_mega__ery_dmso__1,1.5296027603,0.4649519635,-0.9520252859,-0.0963223379
abx_mega__nal_naoh__1,-0.7568413889000001,-0.5961160833,-1.1192082668,0.2413352799
abx_mega__dmso-5__1,-0.2913964129,0.3171810927,-0.44044536640000004,0.041171689500000004
abx_mega__rif_dmso__1,1.9344272216,0.0140556985,0.7312474864,-0.017414596600000002
abx_mega__novo_h2o__1,0.8663708349,-3.3661452447,-1.8773738054,-0.9116861065
abx_mega__rach_dmso__1,-0.5403998998,-0.061678896100000005,-0.36928650620000003,0.0767488306
abx_mega__metro_dmso__1,3.1860032217,1.144991836,-0.8152319910000001,0.7299125769
abx_mega__dmso-6__1,1.2818396103,0.9888504367000001,-0.4595163888,0.7506476149
abx_mega__chl_h2o__1,3.1790948531,0.2540522612,0.3057539643,-1.274849755
abx_mega__cst_h2o__1,0.45771679,-0.4125501264,-0.2893712102,0.1195019793
abx_mega__tec_h2o__1,-0.6560168200000001,0.5690833835,-3.2741451348,0.5032565625000001
abx_mega__str_h2o__1,1.2877675314,0.9630590176,-2.0496683097,-0.0047544513
abx_mega__ctx_h2o__1,-0.8933675532,-0.31015853460000004,-0.5643907758,-0.2934325111
