,A,Crp,Nac,TorR
R2,,0.1416329757379161,0.0297473477319653,0.015443607516195779
xmin,,-9.852476477,-9.2368842382,-4.558842202
xmid,,-2.0380662746382034,-3.0484065209422315,-1.2436619197643664
xmax,,2.5388323397,8.2896436494,3.0312857684
ystart,,-5.178701257594982,1.0294636907289454,-1.3705183175173947
yend,,5.74677817605602,-5.039911712580427,2.3245428872212424
aat__00m_00s__1,1.3633532898,0.0344951212,-0.6087659503,0.0269742268
aat__00m_30s__1,0.9148492356000001,0.1435731223,-0.7684377252,-0.1901568961
aat__01m_00s__1,-0.18545800580000002,0.2534372822,-0.2494753319,-0.26921608950000003
aat__02m_00s__1,-0.8521528890000001,0.283920339,-0.8593663065,-0.4056953162
aat__05m_00s__1,-2.4218914327,0.3175329239,-0.8536481749,-0.2240165792
aat__10m_00s__1,-2.5343831928,0.17602055360000002,-1.097633245,-0.3936496618
aat__00m_00s__2,0.6874106622,0.005256366,-0.0200765477,0.2650887413
aat__00m_30s__2,1.4417622248,0.2819816342,-0.0977108352,0.0159067473
aat__01m_00s__2,0.5299827069,0.2801678667,-0.1616756424,-0.4380669465
aat__02m_00s__2,-1.2153558668,0.4762089513,-0.6594998195,-0.30470502
aat__05m_00s__2,-2.2182440914,0.5370175003000001,-1.1317581087,-0.4247258168
aat__10m_00s__2,-0.4764753339,0.5086233319,-0.2891878228,-0.18260121710000002
aat__00m_00s__3,-2.050763952,-0.039751487200000005,0.628842498,-0.2920629681
aat__00m_30s__3,1.0621309013,0.2905320638,0.06683463960000001,-0.22571623240000002
aat__01m_00s__3,0.3716037158,0.1859933018,-0.226549141,-0.37329338230000003
aat__02m_00s__3,-0.5786601912,0.3699621097,-0.4197131606,-0.5041255496
aat__05m_00s__3,-1.0180495564,0.5483756585,-0.5652445004000001,-0.3690842462
aat__10m_00s__3,-1.5936534136,0.50143841,-0.8309633404000001,-0.4786594724
abx_mega__dmso-2__1,1.8685462628,-0.4516798918,0.8767780779000001,-1.4718733298
abx_mega__ery_dmso__1,-12.5422345544,-1.8893970692000002,-2.2961125363,-0.5587259288
abx_mega__nal_naoh__1,3.8112945108,-0.1701238306,0.3561750124,0.088082953
abx_mega__dmso-5__1,-0.2393334537,0.1340371706,0.1987336626,-1.346774336
abx_mega__rif_dmso__1,-4.1266382381,-0.8477189713000001,0.3604524203,-1.2182614017
abx_mega__novo_h2o__1,-8.8510844905,0.1307715067,-1.7901959572,-1.7450659574
abx_mega__rach_dmso__1,-6.0001326045,-0.2340068764,0.4318438408,-1.7126228518
abx_mega__metro_dmso__1,-3.2170511114,-0.33700626310000004,0.1992620209,-0.7590282312000001
abx_mega__dmso-6__1,-2.8820650543,-0.2857852433,-0.40245616040000004,-0.8285372743
abx_mega__chl_h2o__1,-13.406959307,-2.9247054987,-0.9546913059000001,-0.4523686961
abx_mega__cst_h2o__1,-0.1064457817,0.0899715865,0.6961197038,-0.1736196867
abx_mega__tec_h2o__1,-9.7391542374,-1.6070723407,0.1970671269,-0.5287641633
abx_mega__str_h2o__1,-2.9870376167,-0.5390842036,-1.231428017,0.5135253661
abx_mega__ctx_h2o__1,0.5404555187,-0.0980165268,0.9644950045,0.4524688911
abx_mega__nal_naoh__2,-0.0008771492,0.2016373309,-0.0902521619,-0.1959478282
abx_mega__phos_h2o__1,-1.1375925727,-0.2490351859,1.2904476845000001,-0.6990081907
abx_mega__dmso-5__2,-0.5265452109000001,0.0411821817,-0.1009443084,-0.7924464296
abx_mega__polmyx_h2o__1,-0.3745886001,0.0231238538,-0.31831298610000003,0.24699792040000002
abx_mega__h2o-8b__1,-0.23895180100000002,0.0476350313,0.9534781892,-0.5718288776
abx_mega__h2o-6__1,-1.1323591947,0.24713669740000002,0.24765128420000002,0.2545990717
abx_mega__thio_dmso__1,-11.4372022632,-1.5465123927,-0.7968411392,-1.8589553528
abx_mega__phos_h2o__2,0.0954462796,0.2066153554,0.4864713626,0.0053403951
abx_mega__ctx_h2o__2,-4.1502852777,-0.5157335737000001,0.44844712740000003,-0.7139529371000001
abx_mega__lzd_dmso__1,-11.1514003318,-1.8223907651,-0.9611780053000001,-1.0183394182
abx_mega__naoh-9__1,-1.2852895433,0.36042412560000003,0.24863525260000002,-0.48467007440000004
abx_mega__dox_dmso__1,-8.6997579047,-1.3002511837,-0.37883280150000004,-1.4640179884
abx_mega__phos_ethanol__1,-0.9891138593000001,0.3379205155,0.6372590869,-0.0702830821
abx_mega__teix_dmso__1,-7.1239630143,-0.6834405493,-0.8672898514,-2.4278725465
abx_mega__dmso-10__1,-0.5367461461,0.1656640608,0.8412397582000001,-0.7910645049
abx_mega__van_dmso__1,-5.9053527168,-0.9934080376000001,3.3518109549,-1.5692158253000001
abx_mega__ramo_h2o__1,-3.1034560322,-0.3443110079,-0.2607254032,-0.8892617992
abx_mega__tec_h2o__2,-6.4171161518,-0.9407234058,0.27499405800000004,-0.9019526670000001
abx_mega__h2o-7__1,-3.393634071,-0.0040549861000000005,1.2762916975,-1.7693886812000001
abx_mega__cro_h2o__1,-2.3019357703,-0.1478341465,1.1358169906,-1.5569092963
abx_mega__tric_ethanol__1,-8.6212098425,-0.1558928562,-0.17017549510000002,0.5951220559
abx_mega__nor_naoh__1,-0.8211939095,0.2764607147,-0.0019217719000000002,0.2840756132
abx_mega__teix_dmso__2,-0.5816411896,-0.14661147630000002,0.32695482,-1.2687843466
abx_mega__nal_naoh__3,-0.5514804338,0.2201400917,0.0304048024,-0.3461628397
abx_mega__novo_h2o__2,-9.0629918614,0.1874058842,-1.7838273028,-1.2845445984000001
abx_mega__dmso-10__2,-0.6338635758,0.0513472187,0.6320160121,-0.8751249534000001
abx_mega__phos_h2o__3,-1.2102837137,0.3866879371,-0.2527105195,0.0934180689
abx_mega__dmso-6__2,-2.3195263273,-0.0602559214,-0.40187031640000004,-0.5922385799000001
abx_mega__rfp_ethanol__1,-11.0477348299,-1.4743546362,0.6116260415,-0.9765080467
abx_mega__dmso-5__3,-0.7965094378,-0.13444608700000002,0.3626445851,-1.3376276966
abx_mega__amyc-d_dmso__1,-5.52479923,-1.621907484,-0.7921696426,-1.1687317337
abx_mega__sxt_dmso__1,-4.9293234145,-0.0376343135,1.4237648646,-2.086931501
abx_mega__dmso-1__1,0.1105631792,-0.0810478849,-0.0484074273,-0.6769295997
abx_mega__pen_h2o__1,1.4988616035,0.1296583874,-0.3001566376,-0.0832451515
abx_mega__dmso-10__3,-0.9052510423000001,0.2017965224,0.6729728702000001,-0.8675558672
abx_mega__nal_naoh__4,-0.8633201575,0.1490464558,0.9617728216,-0.4505505528
abx_mega__cip_naoh__1,0.1338361767,0.2623448043,0.8513588422,-0.7524902998
abx_mega__pen_h2o__2,0.1012126955,-0.22631582460000002,0.3039911158,-0.2168579722
