,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,AB569_EDTA_NaNO2__EDTA_NaNo2_wt,0.0,0.18658346449260446,2.0,0.0,-0.13193443300000002,1.0,0.13193443300000002,,,,,,,,,,,,
1,AB569_EDTA_NaNO2__NaNO2,-0.669969769,0.11218123501360239,2.0,2.0,-0.590645657,3.0,-0.749293881,,,,,,,,,,,,
2,AB569_EDTA_NaNO2__EDTA,0.18083975033333335,0.05881931239082707,3.0,4.0,0.16817742100000002,5.0,0.129382849,6.0,0.24495898100000002,,,,,,,,,,
3,AB569_EDTA_NaNO2__NaNO2_EDTA,-1.3288876135,0.28075819633191335,2.0,7.0,-1.130361589,8.0,-1.527413638,,,,,,,,,,,,
4,Anthranilate_metabolism_GntR_AntP__GntR_AntP_wt,0.0,0.0019851881460456085,2.0,9.0,0.0014037400000000001,10.0,-0.0014037400000000001,,,,,,,,,,,,
5,Anthranilate_metabolism_GntR_AntP__antP,-0.9973527105000001,0.1803903637947839,2.0,11.0,-1.12490796,12.0,-0.8697974610000001,,,,,,,,,,,,
6,Antibiotics_impregnated_catheters__PA01_Planktonic_Ctrl,0.0,0.05800865030762395,2.0,13.0,-0.04101831,14.0,0.04101831,,,,,,,,,,,,
7,Antibiotics_impregnated_catheters__PA01_Biofilm_Ctrl,-0.06991766925000001,0.1512920417487377,4.0,15.0,-0.148545107,16.0,0.155147796,17.0,-0.11958822100000001,18.0,-0.166685145,,,,,,,,
8,Antibiotics_impregnated_catheters__PA01_Planktonic_Clin-Rif,-2.9891278825,0.10072996368924701,4.0,19.0,-3.099693565,20.0,-3.032698274,21.0,-2.9591632580000002,22.0,-2.864956433,,,,,,,,
9,Antibiotics_impregnated_catheters__PA01_Biofilm_Clin-Rif,0.21062407933333335,0.18657713201676596,3.0,23.0,0.044255090000000004,24.0,0.412349899,25.0,0.175267249,,,,,,,,,,
10,Catabolise_Nucleic_Acids__L_asp,-0.386051487,0.5792471842975339,2.0,26.0,0.023538125,27.0,-0.795641099,,,,,,,,,,,,
11,Catabolise_Nucleic_Acids__DNA_1,9.25185853854297e-18,0.12196184519139347,3.0,28.0,0.00807028,29.0,0.11772628500000001,30.0,-0.125796565,,,,,,,,,,
12,Catabolite_repression__del_hfq_crc_wt,0.0,0.14276219474321244,2.0,31.0,0.100948116,32.0,-0.100948116,,,,,,,,,,,,
13,Catabolite_repression__delHfq,-0.7714288220000001,0.0793125373594804,2.0,33.0,-0.715346389,34.0,-0.827511255,,,,,,,,,,,,
14,Catabolite_repression__deldcrc,-1.7163952535,0.015376880535291449,2.0,35.0,-1.7272683500000001,36.0,-1.705522157,,,,,,,,,,,,
