,A,RpoN,FhlA
R2,,0.09924451401860901,0.08243789263644796
xmin,,-2.3873792415,-2.66501451
xmid,,-0.3892050459491196,-0.5173497068912619
xmax,,1.0586750145,2.20018238
ystart,,0.37303727453121016,0.4730925576746755
yend,,3.451260525596443,3.457121359999423
ecoli_00001,-0.2768151648,-0.0046102245,-0.092184211
ecoli_00002,0.2768151648,0.0046102245,0.092184211
ecoli_00003,0.007282846900000001,0.7030172055,1.368479405
ecoli_00004,0.617729658,0.8161369585,1.4118933359999999
ecoli_00005,-0.4030853451,-0.0984432415,-0.32509559
ecoli_00006,0.2260580609,-0.0146245195,-0.288179526
ecoli_00007,0.7503774657000001,0.5910067835,1.223607439
ecoli_00008,0.2459266896,0.7714851735,1.151419868
ecoli_00009,-1.6426734523,0.1582958355,-0.22310406400000002
ecoli_00010,-1.364664418,0.09519432950000001,-0.34399649200000004
ecoli_00011,0.5283214012,0.1518490055,0.655897277
ecoli_00012,0.3231596286,0.22540910150000001,0.6092010370000001
ecoli_00014,0.9340892211,0.2189185305,0.652288133
ecoli_00015,0.44964470100000004,0.1845077045,0.623856407
ecoli_00016,0.5736801921,0.1457626175,0.6287262560000001
ecoli_00017,-0.280358304,0.16061627050000002,0.606088474
ecoli_00018,-0.6401275266,0.23216701250000002,0.6578952180000001
ecoli_00019,-0.055880894300000004,0.4468107435,0.45618131
ecoli_00020,1.0481655622,0.3896680745,0.73264509
ecoli_00021,0.32048135980000003,0.3630092975,0.440324871
ecoli_00022,0.0944575339,0.36022816350000003,0.7651884080000001
ecoli_00023,0.2854003868,0.45338366350000003,0.374430712
ecoli_00024,-0.5628871239000001,0.43859741750000003,0.360762165
ecoli_00025,-0.481236967,0.6504048325,0.764773664
ecoli_00026,-0.2125770995,0.6203968145000001,0.7001152810000001
ecoli_00027,2.2382985687,0.3878049415,0.9041713140000001
ecoli_00028,2.2113187426,0.38617062950000003,0.744725182
ecoli_00029,4.4846492519,0.1780138735,0.6609426230000001
ecoli_00030,4.8828864001,0.14013047450000002,0.7732091280000001
ecoli_00031,4.8737895634,0.38755840750000004,1.308010013
ecoli_00032,5.0126338917,0.3112008835,1.113610972
ecoli_00033,3.8224762625,0.6216542455,1.625261793
ecoli_00034,2.4297296196,0.8497727805,1.627394142
ecoli_00035,3.2013600856,0.1636119455,1.009646536
ecoli_00036,3.0854255141,0.2066971445,0.996741764
ecoli_00037,3.8568367192,0.3080251985,1.4650726170000001
ecoli_00038,4.0539643349,0.2967956055,1.482808745
ecoli_00039,-0.5116389194000001,-0.2040379745,-0.019686067
ecoli_00040,0.2188241864,-0.2513449025,0.05411376800000001
ecoli_00041,0.091965903,0.4210455765,0.39245423100000004
ecoli_00042,0.4155906078,0.3409092855,0.206991427
ecoli_00043,0.7233842685,0.26062700850000003,-0.168349733
