,A,Zur,ZntR,CueR
R2,,0.024998138836873407,0.006020154455690485,0.001801114353563782
xmin,,-4.120676179,-3.5871777707,-3.260627732
xmid,,-1.6519324308033578,,0.284965322212068
xmax,,3.1867238944,5.2048161129,3.629331685
ystart,,2.294094644929854,-0.8687892655217586,0.7174330926921556
yend,,-2.82212737828368,2.862017367328124,3.2332863165920305
aat__00m_00s__1,0.9696491137000001,-0.1298713205,0.1673239917,-0.021709826800000002
aat__00m_30s__1,-0.1532434695,-0.08519224830000001,0.1396508076,-0.22707536490000002
aat__01m_00s__1,0.0101141355,-0.4878667581,0.0694731231,-0.2045079348
aat__02m_00s__1,0.22626864840000002,-0.6905716616,0.1823611795,-0.36755391330000003
aat__05m_00s__1,0.15546246500000002,-0.6204074748,0.0965711914,-0.5734088798
aat__10m_00s__1,-0.8241546781,-0.5000335856,0.19068916100000002,-0.9915062475
aat__00m_00s__2,-0.27737080880000003,0.0685894439,-0.2230367935,-0.0741186871
aat__00m_30s__2,-0.0663657715,-0.3546748147,-0.6810565924,-0.08886582180000001
aat__01m_00s__2,-0.4326635415,-0.6046959363000001,-0.0659503456,-0.282612582
aat__02m_00s__2,-0.08796009340000001,-0.5928255183000001,-0.1395687002,-0.23433519330000002
aat__05m_00s__2,0.27289740020000003,-0.8049367247,0.014438859200000001,-0.4873096371
aat__10m_00s__2,-0.1253929829,-0.7874484905,0.383850134,-0.6029667843000001
aat__00m_00s__3,-0.6922783049,0.0612818766,0.0557128018,0.09582851390000001
aat__00m_30s__3,0.37294470090000004,-0.1176929466,0.3570152869,0.12347774930000001
aat__01m_00s__3,0.0138452509,-0.5264352113,0.33776014200000004,-0.21541008550000001
aat__02m_00s__3,0.7895120080000001,-0.6591364613,0.2516140731,-0.0798264105
aat__05m_00s__3,0.588526623,-0.6547811615,0.1344716233,-0.49366860560000003
aat__10m_00s__3,-0.0893100751,-0.4890993818,0.1892863253,-0.324455716
abx_mega__dmso-2__1,-3.4286799518,1.2060303867,-2.1610508063,0.7306802789
abx_mega__ery_dmso__1,2.2996320885,-0.9460268205000001,-0.51805632,-0.0963223379
abx_mega__nal_naoh__1,-3.1854932501,1.3460908086,-3.5521589236,0.2413352799
abx_mega__dmso-5__1,1.9958093557,-0.0948180939,0.3464408567,0.041171689500000004
abx_mega__rif_dmso__1,1.2486051355,-0.7789089331,1.3495040259,-0.017414596600000002
abx_mega__novo_h2o__1,1.7376339654000001,-2.2852230221,-2.5265700132999998,-0.9116861065
abx_mega__rach_dmso__1,0.22694587930000001,-0.1754779697,-0.471726927,0.0767488306
abx_mega__metro_dmso__1,0.9151373892,0.039413112300000004,0.8377401044,0.7299125769
abx_mega__dmso-6__1,0.21463401310000002,0.1461067597,-0.07361138860000001,0.7506476149
abx_mega__chl_h2o__1,1.5534904373,-1.3363879369,0.1999872745,-1.274849755
abx_mega__cst_h2o__1,0.9720270606,0.38920364700000004,-0.053901814000000006,0.1195019793
abx_mega__tec_h2o__1,-2.2754956877,-0.43603259310000003,-2.7903797690000003,0.5032565625000001
abx_mega__str_h2o__1,-2.6332048259,0.8736988603,-2.532340186,-0.0047544513
abx_mega__ctx_h2o__1,0.3851828242,0.2467255301,-0.0600186757,-0.2934325111
abx_mega__nal_naoh__2,1.5492418534999999,0.6180782257,-1.3316010895,0.24379950300000003
abx_mega__phos_h2o__1,0.8977231166,-0.3405429606,0.0281796383,-0.3996290927
abx_mega__dmso-5__2,1.7470111274,-0.4422660959,-0.14910710630000001,-0.5869387220000001
abx_mega__polmyx_h2o__1,-1.8450229476,0.3553516269,0.0122015869,0.2631433165
abx_mega__h2o-8b__1,1.1912245901,0.3928004362,0.3491380228,0.1655532037
abx_mega__h2o-6__1,1.359975597,0.2994781749,-0.4524177226,0.30241946000000003
abx_mega__thio_dmso__1,-1.3559449839,-0.7272118653,-1.4101723086,-1.4350492581
abx_mega__phos_h2o__2,0.27685512360000003,0.2628448439,0.13850560380000002,0.1201437478
abx_mega__ctx_h2o__2,-2.6363173012,-0.010283351900000001,-1.3083826978,-1.1728137778
abx_mega__lzd_dmso__1,1.4761045051,-1.2530730185,-1.0539568889,-0.4895867461
abx_mega__naoh-9__1,-0.8083801948,0.0554250743,-0.0385932937,-0.036495866
abx_mega__dox_dmso__1,-1.1019239212,-0.7265217286,-0.9817050133,-1.6268268042
abx_mega__phos_ethanol__1,0.4683794949,0.528568782,-0.2334553916,-0.3430179503
abx_mega__teix_dmso__1,-2.2455091175,-0.8016179358000001,-1.0724538994,-0.41276307910000004
abx_mega__dmso-10__1,-1.0807934314,0.2757391889,-0.4858401603,-0.5400883705
abx_mega__van_dmso__1,1.273097989,-0.1876430737,0.0076032714,1.2312903285
abx_mega__ramo_h2o__1,0.4303945563,-0.8430826652000001,-0.2444924055,-0.251935163
abx_mega__tec_h2o__2,0.3433529211,-0.7261829768,-0.1142679245,-0.5919973566
abx_mega__h2o-7__1,-1.4823250986,-0.0963128452,-1.8784235674,-1.5223332302
